Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS England,Australia,England,Australia,7 runs,Eden Gardens,"Nov 8, 1987",ODI # 477,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/australia-vs-england-final-65117/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980
India VS England,India,England,England,35 runs,Wankhede,"Nov 5, 1987",ODI # 476,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/india-vs-england-2nd-semi-final-65116/full-scorecard,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324
Pakistan VS Australia,Pakistan,Australia,Australia,18 runs,Lahore,"Nov 4, 1987",ODI # 475,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/pakistan-vs-australia-1st-semi-final-65115/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967
India VS New Zealand,India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987",ODI # 474,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/india-vs-new-zealand-24th-match-65114/full-scorecard,https://www.espncricinfo.com/cricket-grounds/vidarbha-c-a-ground-nagpur-58344
Pakistan VS West Indies,Pakistan,West Indies,West Indies,28 runs,Karachi,"Oct 30, 1987",ODI # 473,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/pakistan-vs-west-indies-23rd-match-65113/full-scorecard,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956
Australia VS Zimbabwe,Australia,Zimbabwe,Australia,70 runs,Cuttack,"Oct 30, 1987",ODI # 471,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/australia-vs-zimbabwe-21st-match-65111/full-scorecard,https://www.espncricinfo.com/cricket-grounds/barabati-stadium-cuttack-58027
England VS Sri Lanka,England,Sri Lanka,England,8 wickets,Pune,"Oct 30, 1987",ODI # 472,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/england-vs-sri-lanka-22nd-match-65112/full-scorecard,https://www.espncricinfo.com/cricket-grounds/nehru-stadium-pune-58383
Australia VS New Zealand,Australia,New Zealand,Australia,17 runs,Chandigarh,"Oct 27, 1987",ODI # 470,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/australia-vs-new-zealand-20th-match-65110/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sector-16-stadium-chandigarh-57993
England VS West Indies,England,West Indies,England,34 runs,Jaipur,"Oct 26, 1987",ODI # 468,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/england-vs-west-indies-18th-match-65108/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sawai-mansingh-stadium-jaipur-58162
India VS Zimbabwe,India,Zimbabwe,India,7 wickets,Ahmedabad,"Oct 26, 1987",ODI # 469,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/india-vs-zimbabwe-19th-match-65109/full-scorecard,https://www.espncricinfo.com/cricket-grounds/narendra-modi-stadium-motera-ahmedabad-57851
Pakistan VS Sri Lanka,Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,"Oct 25, 1987",ODI # 467,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/pakistan-vs-sri-lanka-17th-match-65107/full-scorecard,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927
New Zealand VS Zimbabwe,New Zealand,Zimbabwe,New Zealand,4 wickets,Eden Gardens,"Oct 23, 1987",ODI # 466,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/new-zealand-vs-zimbabwe-16th-match-65106/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980
India VS Australia,India,Australia,India,56 runs,Delhi,"Oct 22, 1987",ODI # 465,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/india-vs-australia-15th-match-65105/full-scorecard,https://www.espncricinfo.com/cricket-grounds/arun-jaitley-stadium-delhi-58040
Sri Lanka VS West Indies,Sri Lanka,West Indies,West Indies,25 runs,Kanpur,"Oct 21, 1987",ODI # 464,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/sri-lanka-vs-west-indies-14th-match-65104/full-scorecard,https://www.espncricinfo.com/cricket-grounds/green-park-kanpur-58204
Pakistan VS England,Pakistan,England,Pakistan,7 wickets,Karachi,"Oct 20, 1987",ODI # 463,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/pakistan-vs-england-13th-match-65103/full-scorecard,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956
Australia VS New Zealand,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",ODI # 462,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/australia-vs-new-zealand-12th-match-65102/full-scorecard,https://www.espncricinfo.com/cricket-grounds/nehru-stadium-indore-58151
England VS Sri Lanka,England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987",ODI # 460,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/england-vs-sri-lanka-10th-match-65100/full-scorecard,https://www.espncricinfo.com/cricket-grounds/arbab-niaz-stadium-peshawar-58988
India VS Zimbabwe,India,Zimbabwe,India,8 wickets,Wankhede,"Oct 17, 1987",ODI # 461,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/india-vs-zimbabwe-11th-match-65101/full-scorecard,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324
Pakistan VS West Indies,Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987",ODI # 459,https://www.espncricinfo.com/series/reliance-world-cup-1987-88-60876/pakistan-vs-west-indies-9th-match-65099/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967
