Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
India VS West Indies,India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983",ODI # 210,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/india-vs-west-indies-14th-match-65077/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
England VS Pakistan,England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983",ODI # 205,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-pakistan-9th-match-65072/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
New Zealand VS Sri Lanka,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983",ODI # 206,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/new-zealand-vs-sri-lanka-10th-match-65073/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831
Australia VS India,Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",ODI # 207,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-india-11th-match-65074/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
West Indies VS Zimbabwe,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983",ODI # 208,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/west-indies-vs-zimbabwe-12th-match-65075/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424
England VS Sri Lanka,England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983",ODI # 201,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-sri-lanka-5th-match-65068/full-scorecard,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351
New Zealand VS Pakistan,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",ODI # 202,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/new-zealand-vs-pakistan-6th-match-65069/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
Australia VS West Indies,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",ODI # 203,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-west-indies-7th-match-65070/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
India VS Zimbabwe,India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983",ODI # 204,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/india-vs-zimbabwe-8th-match-65071/full-scorecard,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100
England VS New Zealand,England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983",ODI # 197,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-new-zealand-1st-match-65064/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
Pakistan VS Sri Lanka,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983",ODI # 198,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/pakistan-vs-sri-lanka-2nd-match-65065/full-scorecard,https://www.espncricinfo.com/cricket-grounds/st-helen-s-swansea-57347
Australia VS Zimbabwe,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",ODI # 199,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-zimbabwe-3rd-match-65066/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
India VS West Indies,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",ODI # 200,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/india-vs-west-indies-4th-match-65067/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
