Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
India VS West Indies,India,West Indies,India,43 runs,Lord's,"Jun 25, 1983",ODI # 223,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/india-vs-west-indies-final-65090/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
England VS India,England,India,India,6 wickets,Manchester,"Jun 22, 1983",ODI # 221,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-india-1st-semi-final-65088/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
Pakistan VS West Indies,Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983",ODI # 222,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/pakistan-vs-west-indies-2nd-semi-final-65089/full-scorecard,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127
England VS Sri Lanka,England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983",ODI # 217,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-sri-lanka-21st-match-65084/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
New Zealand VS Pakistan,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983",ODI # 218,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/new-zealand-vs-pakistan-22nd-match-65085/full-scorecard,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219
Australia VS India,Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",ODI # 219,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-india-23rd-match-65086/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887
West Indies VS Zimbabwe,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983",ODI # 220,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/west-indies-vs-zimbabwe-24th-match-65087/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
England VS Pakistan,England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983",ODI # 213,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-pakistan-17th-match-65080/full-scorecard,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160
New Zealand VS Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",ODI # 214,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/new-zealand-vs-sri-lanka-18th-match-65081/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-derby-56953
Australia VS West Indies,Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983",ODI # 215,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-west-indies-19th-match-65082/full-scorecard,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129
India VS Zimbabwe,India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983",ODI # 216,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/india-vs-zimbabwe-20th-match-65083/full-scorecard,https://www.espncricinfo.com/cricket-grounds/nevill-ground-tunbridge-wells-57367
Pakistan VS Sri Lanka,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983",ODI # 211,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/pakistan-vs-sri-lanka-15th-match-65078/full-scorecard,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092
Australia VS Zimbabwe,Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983",ODI # 212,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/australia-vs-zimbabwe-16th-match-65079/full-scorecard,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309
England VS New Zealand,England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",ODI # 209,https://www.espncricinfo.com/series/prudential-world-cup-1983-60832/england-vs-new-zealand-13th-match-65076/full-scorecard,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788
