Team 1 VS Team 2,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Match Link,Ground Link
Australia VS Sri Lanka,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",ODI # 1083,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/australia-vs-sri-lanka-final-65192/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967
Australia VS West Indies,Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996",ODI # 1082,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/australia-vs-west-indies-2nd-semi-final-65191/full-scorecard,https://www.espncricinfo.com/cricket-grounds/i-s-bindra-punjab-cricket-association-stadium-57991
India VS Sri Lanka,India,Sri Lanka,Sri Lanka,-,Eden Gardens,"Mar 13, 1996",ODI # 1081,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/india-vs-sri-lanka-1st-semi-final-65190/full-scorecard,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980
Australia VS New Zealand,Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996",ODI # 1080,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/australia-vs-new-zealand-4th-qf-65189/full-scorecard,https://www.espncricinfo.com/cricket-grounds/ma-chidambaram-stadium-chepauk-chennai-58008
South Africa VS West Indies,South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996",ODI # 1079,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/south-africa-vs-west-indies-3rd-qf-65188/full-scorecard,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956
India VS Pakistan,India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",ODI # 1078,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/india-vs-pakistan-2nd-qf-65187/full-scorecard,https://www.espncricinfo.com/cricket-grounds/m-chinnaswamy-stadium-bengaluru-57897
England VS Sri Lanka,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",ODI # 1077,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/england-vs-sri-lanka-1st-qf-65186/full-scorecard,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927
Pakistan VS New Zealand,Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996",ODI # 1076,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/pakistan-vs-new-zealand-30th-match-65185/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967
Sri Lanka VS Kenya,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996",ODI # 1074,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/sri-lanka-vs-kenya-28th-match-65183/full-scorecard,https://www.espncricinfo.com/cricket-grounds/asgiriya-stadium-kandy-59329
India VS Zimbabwe,India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996",ODI # 1075,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/india-vs-zimbabwe-29th-match-65184/full-scorecard,https://www.espncricinfo.com/cricket-grounds/green-park-kanpur-58204
Netherlands VS South Africa,Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996",ODI # 1073,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/netherlands-vs-south-africa-27th-match-65182/full-scorecard,https://www.espncricinfo.com/cricket-grounds/rawalpindi-cricket-stadium-59006
Australia VS West Indies,Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996",ODI # 1072,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/australia-vs-west-indies-26th-match-65181/full-scorecard,https://www.espncricinfo.com/cricket-grounds/sawai-mansingh-stadium-jaipur-58162
Pakistan VS England,Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996",ODI # 1071,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/pakistan-vs-england-25th-match-65180/full-scorecard,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956
India VS Sri Lanka,India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996",ODI # 1070,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/india-vs-sri-lanka-24th-match-65179/full-scorecard,https://www.espncricinfo.com/cricket-grounds/arun-jaitley-stadium-delhi-58040
Netherlands VS U.A.E.,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996",ODI # 1069,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/netherlands-vs-united-arab-emirates-23rd-match-65178/full-scorecard,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967
Australia VS Zimbabwe,Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996",ODI # 1068,https://www.espncricinfo.com/series/wills-world-cup-1995-96-60981/australia-vs-zimbabwe-22nd-match-65177/full-scorecard,https://www.espncricinfo.com/cricket-grounds/vidarbha-c-a-ground-nagpur-58344
