VS,Batting, ,Batting Possition,Match Id,Teaminnings,R,B,M,4s,6s,SR
England VS West Indies,Phil DeFreitas ,not out ,7,ODI # 468,England,16,9,-,3,0,177.77
England VS West Indies,Desmond Haynes ,c Athey b DeFreitas,1,ODI # 468,West Indies,9,14,-,2,0,64.28
England VS West Indies,Phil Simmons , b Emburey,2,ODI # 468,West Indies,25,28,-,5,0,89.28
England VS West Indies,Richie Richardson ,c †Downton b Small,3,ODI # 468,West Indies,93,130,-,8,1,71.53
England VS West Indies,Viv Richards (c), b Hemmings,4,ODI # 468,West Indies,51,51,-,4,3,100.00
England VS West Indies,Gus Logie ,c Hemmings b Emburey,5,ODI # 468,West Indies,22,21,-,3,0,104.76
England VS West Indies,Carl Hooper ,c †Downton b DeFreitas,6,ODI # 468,West Indies,8,11,-,1,0,72.72
England VS West Indies,Jeff Dujon †,c †Downton b Foster,7,ODI # 468,West Indies,1,4,-,0,0,25.00
England VS West Indies,Roger Harper ,run out ,8,ODI # 468,West Indies,3,4,-,0,0,75.00
England VS West Indies,Winston Benjamin ,c Foster b DeFreitas,9,ODI # 468,West Indies,8,16,-,0,0,50.00
England VS West Indies,Courtney Walsh , b Hemmings,10,ODI # 468,West Indies,2,3,-,0,0,66.66
England VS West Indies,Patrick Patterson ,not out ,11,ODI # 468,West Indies,4,8,-,0,0,50.00
India VS Zimbabwe,Robin Brown ,c †More b Sharma,1,ODI # 469,Zimbabwe,13,52,-,2,0,25.00
India VS Zimbabwe,Ali Shah ,run out ,2,ODI # 469,Zimbabwe,0,3,-,0,0,0.00
India VS Zimbabwe,Kevin Arnott , b Kapil Dev,3,ODI # 469,Zimbabwe,60,126,-,1,0,47.61
India VS Zimbabwe,Andy Pycroft ,c †More b Sharma,4,ODI # 469,Zimbabwe,2,9,-,0,0,22.22
India VS Zimbabwe,Dave Houghton †,c Kapil Dev b Shastri,5,ODI # 469,Zimbabwe,22,35,-,0,0,62.85
India VS Zimbabwe,Andy Waller ,c Shastri b Maninder Singh,6,ODI # 469,Zimbabwe,39,44,-,4,1,88.63
India VS Zimbabwe,Iain Butchart , b Kapil Dev,7,ODI # 469,Zimbabwe,13,14,-,1,0,92.85
India VS Zimbabwe,Peter Rawson ,not out ,8,ODI # 469,Zimbabwe,16,17,-,0,0,94.11
India VS Zimbabwe,Eddo Brandes ,not out ,9,ODI # 469,Zimbabwe,3,4,-,0,0,75.00
India VS Zimbabwe,Kris Srikkanth ,lbw b Jarvis,1,ODI # 469,India,6,9,-,1,0,66.66
India VS Zimbabwe,Sunil Gavaskar ,c Butchart b Rawson,2,ODI # 469,India,50,114,-,3,0,43.85
India VS Zimbabwe,Navjot Sidhu ,c Brandes b Rawson,3,ODI # 469,India,55,61,-,5,1,90.16
India VS Zimbabwe,Dilip Vengsarkar ,not out ,4,ODI # 469,India,33,43,-,1,0,76.74
India VS Zimbabwe,Kapil Dev (c),not out ,5,ODI # 469,India,41,25,-,2,3,164.00
Pakistan VS Sri Lanka,Ramiz Raja ,c & b Anurasiri,1,ODI # 467,Pakistan,32,49,-,2,0,65.30
Pakistan VS Sri Lanka,Mansoor Akhtar , b Jeganathan,2,ODI # 467,Pakistan,33,61,-,2,0,54.09
Pakistan VS Sri Lanka,Saleem Malik , b Ratnayeke,3,ODI # 467,Pakistan,100,95,-,10,0,105.26
Pakistan VS Sri Lanka,Javed Miandad ,run out ,4,ODI # 467,Pakistan,1,8,-,0,0,12.50
Pakistan VS Sri Lanka,Wasim Akram ,c Ranatunga b de Silva,5,ODI # 467,Pakistan,39,40,-,2,2,97.50
Pakistan VS Sri Lanka,Ijaz Ahmed ,c & b John,6,ODI # 467,Pakistan,30,18,-,5,0,166.66
Pakistan VS Sri Lanka,Imran Khan (c),run out ,7,ODI # 467,Pakistan,39,20,-,5,1,195.00
Pakistan VS Sri Lanka,Manzoor Elahi ,not out ,8,ODI # 467,Pakistan,4,6,-,0,0,66.66
Pakistan VS Sri Lanka,Saleem Yousuf †,not out ,9,ODI # 467,Pakistan,11,6,-,0,1,183.33
Pakistan VS Sri Lanka,Roshan Mahanama ,run out ,1,ODI # 467,Sri Lanka,8,13,-,1,0,61.53
Pakistan VS Sri Lanka,Brendon Kuruppu †,c †Saleem Yousuf b Imran Khan,2,ODI # 467,Sri Lanka,0,1,-,0,0,0.00
Pakistan VS Sri Lanka,Ravi Ratnayeke ,run out ,3,ODI # 467,Sri Lanka,22,60,-,2,0,36.66
Pakistan VS Sri Lanka,Ranjan Madugalle ,c †Saleem Yousuf b Manzoor Elahi,4,ODI # 467,Sri Lanka,15,38,-,2,0,39.47
Pakistan VS Sri Lanka,Arjuna Ranatunga ,c & b Abdul Qadir,5,ODI # 467,Sri Lanka,50,66,-,4,0,75.75
Pakistan VS Sri Lanka,Duleep Mendis (c), b Abdul Qadir,6,ODI # 467,Sri Lanka,58,65,-,6,0,89.23
Pakistan VS Sri Lanka,Aravinda de Silva ,not out ,7,ODI # 467,Sri Lanka,13,35,-,0,0,37.14
Pakistan VS Sri Lanka,Ashantha de Mel , b Abdul Qadir,8,ODI # 467,Sri Lanka,0,3,-,0,0,0.00
Pakistan VS Sri Lanka,Sridharan Jeganathan ,c †Saleem Yousuf b Javed Miandad,9,ODI # 467,Sri Lanka,1,11,-,0,0,9.09
Pakistan VS Sri Lanka,Vinothen John ,not out ,10,ODI # 467,Sri Lanka,1,12,-,0,0,8.33
New Zealand VS Zimbabwe,Grant Paterson ,run out ,1,ODI # 466,Zimbabwe,0,8,-,0,0,0.00
New Zealand VS Zimbabwe,Ali Shah ,c MD Crowe b Watson,2,ODI # 466,Zimbabwe,41,90,-,2,0,45.55
New Zealand VS Zimbabwe,Kevin Arnott ,run out ,3,ODI # 466,Zimbabwe,51,83,-,5,0,61.44
New Zealand VS Zimbabwe,Dave Houghton †,c MD Crowe b Boock,4,ODI # 466,Zimbabwe,50,57,-,5,0,87.71
New Zealand VS Zimbabwe,Andy Pycroft ,not out ,5,ODI # 466,Zimbabwe,52,46,-,2,1,113.04
New Zealand VS Zimbabwe,Kevin Curran , b Boock,6,ODI # 466,Zimbabwe,12,11,-,1,0,109.09
New Zealand VS Zimbabwe,Andy Waller ,not out ,7,ODI # 466,Zimbabwe,8,5,-,1,0,160.00
New Zealand VS Zimbabwe,Ken Rutherford , b Brandes,1,ODI # 466,New Zealand,22,32,-,2,0,68.75
New Zealand VS Zimbabwe,John Wright , b Omarshah,2,ODI # 466,New Zealand,12,32,-,1,0,37.50
New Zealand VS Zimbabwe,Martin Crowe ,c Butchart b Omarshah,3,ODI # 466,New Zealand,58,58,-,8,0,100.00
New Zealand VS Zimbabwe,Dipak Patel ,c Arnott b Brandes,4,ODI # 466,New Zealand,1,4,-,0,0,25.00
New Zealand VS Zimbabwe,Jeff Crowe (c),not out ,5,ODI # 466,New Zealand,88,105,-,8,0,83.80
New Zealand VS Zimbabwe,Andrew Jones ,c Jarvis b Traicos,6,ODI # 466,New Zealand,15,35,-,1,0,42.85
New Zealand VS Zimbabwe,Martin Snedden , b Jarvis,7,ODI # 466,New Zealand,4,13,-,0,0,30.76
New Zealand VS Zimbabwe,Ian Smith †,not out ,8,ODI # 466,New Zealand,17,10,-,2,0,170.00
India VS Australia,Kris Srikkanth ,c †Dyer b McDermott,1,ODI # 465,India,26,37,41,3,0,70.27
India VS Australia,Sunil Gavaskar , b O'Donnell,2,ODI # 465,India,61,72,99,7,0,84.72
India VS Australia,Navjot Sidhu ,c Moody b McDermott,3,ODI # 465,India,51,70,88,2,0,72.85
India VS Australia,Dilip Vengsarkar ,c O'Donnell b Reid,4,ODI # 465,India,63,60,84,3,2,105.00
India VS Australia,Kapil Dev (c),c †Dyer b McDermott,5,ODI # 465,India,3,5,9,0,0,60.00
India VS Australia,Mohammad Azharuddin ,not out ,6,ODI # 465,India,54,45,-,5,1,120.00
India VS Australia,Ravi Shastri ,c & b Waugh,7,ODI # 465,India,8,7,10,1,0,114.28
India VS Australia,Kiran More †,not out ,8,ODI # 465,India,5,4,-,0,0,125.00
India VS Australia,Geoff Marsh ,st †More b Maninder Singh,1,ODI # 465,Australia,33,56,72,2,0,58.92
India VS Australia,David Boon ,c †More b Shastri,2,ODI # 465,Australia,62,59,85,7,0,105.08
India VS Australia,Dean Jones ,c Kapil Dev b Maninder Singh,3,ODI # 465,Australia,36,55,64,0,0,65.45
India VS Australia,Allan Border (c),c Prabhakar b Maninder Singh,4,ODI # 465,Australia,12,24,22,0,0,50.00
India VS Australia,Steve Waugh ,c Sidhu b Kapil Dev,5,ODI # 465,Australia,42,52,73,3,0,80.76
India VS Australia,Tom Moody ,run out ,6,ODI # 465,Australia,2,6,4,0,0,33.33
India VS Australia,Simon O'Donnell , b Azharuddin,7,ODI # 465,Australia,5,10,14,0,0,50.00
India VS Australia,Greg Dyer †,c Kapil Dev b Prabhakar,8,ODI # 465,Australia,15,12,13,0,1,125.00
India VS Australia,Craig McDermott ,c & b Azharuddin,9,ODI # 465,Australia,4,5,15,0,0,80.00
India VS Australia,Andrew Zesers ,not out ,10,ODI # 465,Australia,2,11,-,0,0,18.18
India VS Australia,Bruce Reid ,c Sidhu b Azharuddin,11,ODI # 465,Australia,1,6,-,0,0,16.66
Sri Lanka VS West Indies,Desmond Haynes , b Anurasiri,1,ODI # 464,West Indies,24,36,-,3,0,66.66
Sri Lanka VS West Indies,Phil Simmons ,c Madugalle b Ratnayeke,2,ODI # 464,West Indies,89,126,-,11,0,70.63
Sri Lanka VS West Indies,Richie Richardson ,c Mahanama b Jeganathan,3,ODI # 464,West Indies,4,12,-,0,0,33.33
Sri Lanka VS West Indies,Viv Richards (c),c Ratnayake b de Silva,4,ODI # 464,West Indies,14,25,-,0,0,56.00
Sri Lanka VS West Indies,Gus Logie ,not out ,5,ODI # 464,West Indies,65,66,-,7,0,98.48
Sri Lanka VS West Indies,Carl Hooper ,st †Kuruppu b de Silva,6,ODI # 464,West Indies,6,8,-,1,0,75.00
Sri Lanka VS West Indies,Jeff Dujon †,c †Kuruppu b Ratnayeke,7,ODI # 464,West Indies,6,14,-,0,0,42.85
Sri Lanka VS West Indies,Roger Harper , b Ratnayeke,8,ODI # 464,West Indies,3,6,-,0,0,50.00
Sri Lanka VS West Indies,Winston Benjamin , b Ratnayake,9,ODI # 464,West Indies,0,3,-,0,0,0.00
Sri Lanka VS West Indies,Courtney Walsh ,not out ,10,ODI # 464,West Indies,9,8,-,1,0,112.50
Sri Lanka VS West Indies,Roshan Mahanama , b Patterson,1,ODI # 464,Sri Lanka,0,3,-,0,0,0.00
Sri Lanka VS West Indies,Brendon Kuruppu †,c & b Hooper,2,ODI # 464,Sri Lanka,33,82,-,1,0,40.24
Sri Lanka VS West Indies,Ravi Ratnayeke ,lbw b Benjamin,3,ODI # 464,Sri Lanka,15,22,-,1,0,68.18
Sri Lanka VS West Indies,Ranjan Madugalle ,c Haynes b Harper,4,ODI # 464,Sri Lanka,18,42,-,0,0,42.85
Sri Lanka VS West Indies,Arjuna Ranatunga ,not out ,5,ODI # 464,Sri Lanka,86,100,-,7,2,86.00
Sri Lanka VS West Indies,Duleep Mendis (c), b Walsh,6,ODI # 464,Sri Lanka,19,34,-,1,0,55.88
Sri Lanka VS West Indies,Aravinda de Silva , b Patterson,7,ODI # 464,Sri Lanka,8,9,-,0,0,88.88
Sri Lanka VS West Indies,Rumesh Ratnayake ,c Walsh b Patterson,8,ODI # 464,Sri Lanka,5,7,-,0,0,71.42
Sri Lanka VS West Indies,Sridharan Jeganathan ,run out ,9,ODI # 464,Sri Lanka,3,9,-,0,0,33.33
Sri Lanka VS West Indies,Vinothen John ,not out ,10,ODI # 464,Sri Lanka,1,3,-,0,0,33.33
Pakistan VS England,Graham Gooch ,c Wasim Akram b Imran Khan,1,ODI # 463,England,16,27,-,2,0,59.25
Pakistan VS England,Tim Robinson , b Abdul Qadir,2,ODI # 463,England,16,26,-,1,0,61.53
Pakistan VS England,Bill Athey , b Tauseef Ahmed,3,ODI # 463,England,86,104,-,6,2,82.69
Pakistan VS England,Mike Gatting (c),c †Saleem Yousuf b Abdul Qadir,4,ODI # 463,England,60,65,-,3,1,92.30
Pakistan VS England,Allan Lamb , b Imran Khan,5,ODI # 463,England,9,15,-,0,0,60.00
Pakistan VS England,John Emburey ,lbw b Abdul Qadir,6,ODI # 463,England,3,11,-,0,0,27.27
Pakistan VS England,Paul Downton †,c †Saleem Yousuf b Imran Khan,7,ODI # 463,England,6,13,-,0,0,46.15
Pakistan VS England,Phil DeFreitas ,c †Saleem Yousuf b Imran Khan,8,ODI # 463,England,13,15,-,1,0,86.66
Pakistan VS England,Neil Foster ,not out ,9,ODI # 463,England,20,20,-,2,0,100.00
Pakistan VS England,Gladstone Small ,run out ,10,ODI # 463,England,0,1,-,0,0,0.00
Pakistan VS England,Eddie Hemmings ,not out ,11,ODI # 463,England,4,3,-,0,0,133.33
Pakistan VS England,Ramiz Raja ,c Gooch b DeFreitas,1,ODI # 463,Pakistan,113,148,-,5,0,76.35
Pakistan VS England,Mansoor Akhtar ,run out ,2,ODI # 463,Pakistan,29,49,-,3,0,59.18
Pakistan VS England,Saleem Malik ,c Athey b Emburey,3,ODI # 463,Pakistan,88,92,-,7,0,95.65
Pakistan VS England,Javed Miandad ,not out ,4,ODI # 463,Pakistan,6,3,-,1,0,200.00
Pakistan VS England,Ijaz Ahmed ,not out ,5,ODI # 463,Pakistan,4,2,-,1,0,200.00
Australia VS New Zealand,David Boon ,c Wright b Snedden,1,ODI # 462,Australia,87,96,110,5,2,90.62
Australia VS New Zealand,Geoff Marsh ,c JJ Crowe b Snedden,2,ODI # 462,Australia,5,9,16,0,0,55.55
Australia VS New Zealand,Dean Jones ,c Rutherford b Patel,3,ODI # 462,Australia,52,48,69,1,3,108.33
Australia VS New Zealand,Allan Border (c),c MD Crowe b Chatfield,4,ODI # 462,Australia,34,28,34,3,0,121.42
Australia VS New Zealand,Steve Waugh ,not out ,5,ODI # 462,Australia,13,8,14,1,1,162.50
Australia VS New Zealand,Tom Moody ,not out ,6,ODI # 462,Australia,0,3,3,0,0,0.00
Australia VS New Zealand,Ken Rutherford , b O'Donnell,1,ODI # 462,New Zealand,37,38,60,2,2,97.36
Australia VS New Zealand,John Wright ,c †Dyer b O'Donnell,2,ODI # 462,New Zealand,47,44,52,1,2,106.81
Australia VS New Zealand,Martin Crowe ,c Marsh b Waugh,3,ODI # 462,New Zealand,58,48,71,5,0,120.83
Australia VS New Zealand,Andrew Jones ,c Marsh b McDermott,4,ODI # 462,New Zealand,15,23,28,0,0,65.21
Australia VS New Zealand,Jeff Crowe (c),c & b Reid,5,ODI # 462,New Zealand,3,10,8,0,0,30.00
Australia VS New Zealand,Dipak Patel ,run out ,6,ODI # 462,New Zealand,13,9,11,1,0,144.44
Australia VS New Zealand,John Bracewell ,c & b Reid,7,ODI # 462,New Zealand,6,4,5,1,0,150.00
Australia VS New Zealand,Ian Smith †, b Waugh,8,ODI # 462,New Zealand,1,2,8,0,0,50.00
Australia VS New Zealand,Martin Snedden ,run out ,9,ODI # 462,New Zealand,1,1,5,0,0,100.00
Australia VS New Zealand,Ewen Chatfield ,not out ,10,ODI # 462,New Zealand,0,0,6,0,0,-
Australia VS New Zealand,Willie Watson ,not out ,11,ODI # 462,New Zealand,2,3,1,0,0,66.66
England VS Sri Lanka,Graham Gooch ,c & b Anurasiri,1,ODI # 460,England,84,100,-,8,0,84.00
England VS Sri Lanka,Chris Broad ,c de Silva b Ratnayeke,2,ODI # 460,England,28,60,-,1,0,46.66
England VS Sri Lanka,Mike Gatting (c), b Ratnayake,3,ODI # 460,England,58,63,-,3,0,92.06
England VS Sri Lanka,Allan Lamb ,c de Silva b Ratnayeke,4,ODI # 460,England,76,58,-,3,2,131.03
England VS Sri Lanka,John Emburey ,not out ,5,ODI # 460,England,30,19,-,3,1,157.89
England VS Sri Lanka,Bill Athey ,not out ,6,ODI # 460,England,2,2,-,0,0,100.00
England VS Sri Lanka,Roshan Mahanama ,c Gooch b Pringle,1,ODI # 460,Sri Lanka,11,39,-,2,0,28.20
England VS Sri Lanka,Brendon Kuruppu †,c Hemmings b Emburey,2,ODI # 460,Sri Lanka,13,26,-,1,0,50.00
England VS Sri Lanka,Asanka Gurusinha ,run out ,3,ODI # 460,Sri Lanka,1,12,-,0,0,8.33
England VS Sri Lanka,Ranjan Madugalle , b Hemmings,4,ODI # 460,Sri Lanka,30,49,-,3,0,61.22
England VS Sri Lanka,Arjuna Ranatunga ,lbw b DeFreitas,5,ODI # 460,Sri Lanka,40,67,-,4,0,59.70
England VS Sri Lanka,Duleep Mendis (c),run out ,6,ODI # 460,Sri Lanka,14,33,-,1,0,42.42
England VS Sri Lanka,Aravinda de Silva ,c Emburey b Hemmings,7,ODI # 460,Sri Lanka,6,14,-,0,0,42.85
England VS Sri Lanka,Ravi Ratnayeke ,c Broad b Emburey,8,ODI # 460,Sri Lanka,1,5,-,0,0,20.00
England VS Sri Lanka,Rumesh Ratnayake ,not out ,9,ODI # 460,Sri Lanka,14,22,-,1,0,63.63
England VS Sri Lanka,Vinothen John ,not out ,10,ODI # 460,Sri Lanka,8,7,-,1,0,114.28
India VS Zimbabwe,Grant Paterson , b Prabhakar,1,ODI # 461,Zimbabwe,6,21,-,0,0,28.57
India VS Zimbabwe,Kevin Arnott ,lbw b Prabhakar,2,ODI # 461,Zimbabwe,1,6,-,0,0,16.66
India VS Zimbabwe,Dave Houghton †, b Prabhakar,3,ODI # 461,Zimbabwe,0,12,-,0,0,0.00
India VS Zimbabwe,Andy Pycroft ,st †More b Shastri,4,ODI # 461,Zimbabwe,61,102,-,2,0,59.80
India VS Zimbabwe,Kevin Curran ,c †More b Prabhakar,5,ODI # 461,Zimbabwe,0,1,-,0,0,0.00
India VS Zimbabwe,Andy Waller ,st †More b Maninder Singh,6,ODI # 461,Zimbabwe,16,42,-,1,0,38.09
India VS Zimbabwe,Iain Butchart ,c Sivaramakrishnan b Maninder Singh,7,ODI # 461,Zimbabwe,10,23,-,1,0,43.47
India VS Zimbabwe,Ali Shah ,c †More b Maninder Singh,8,ODI # 461,Zimbabwe,0,1,-,0,0,0.00
India VS Zimbabwe,Babu Meman ,run out ,9,ODI # 461,Zimbabwe,19,22,-,2,0,86.36
India VS Zimbabwe,John Traicos (c),c Gavaskar b Sivaramakrishnan,10,ODI # 461,Zimbabwe,0,1,-,0,0,0.00
India VS Zimbabwe,Malcolm Jarvis ,not out ,11,ODI # 461,Zimbabwe,8,35,-,0,0,22.85
India VS Zimbabwe,Kris Srikkanth ,c Paterson b Traicos,1,ODI # 461,India,31,38,-,4,0,81.57
India VS Zimbabwe,Sunil Gavaskar ,st †Houghton b Traicos,2,ODI # 461,India,43,52,-,9,0,82.69
India VS Zimbabwe,Manoj Prabhakar ,not out ,3,ODI # 461,India,11,41,-,1,0,26.82
India VS Zimbabwe,Dilip Vengsarkar ,not out ,4,ODI # 461,India,46,37,-,4,3,124.32
Pakistan VS West Indies,Desmond Haynes , b Saleem Jaffar,1,ODI # 459,West Indies,37,81,-,3,0,45.67
Pakistan VS West Indies,Phil Simmons ,c & b Tauseef Ahmed,2,ODI # 459,West Indies,50,57,-,8,0,87.71
Pakistan VS West Indies,Richie Richardson ,c Ijaz Ahmed b Saleem Jaffar,3,ODI # 459,West Indies,11,22,-,1,0,50.00
Pakistan VS West Indies,Viv Richards (c),c Saleem Malik b Imran Khan,4,ODI # 459,West Indies,51,52,-,4,1,98.07
Pakistan VS West Indies,Gus Logie ,c Mansoor Akhtar b Saleem Jaffar,5,ODI # 459,West Indies,2,4,-,0,0,50.00
Pakistan VS West Indies,Carl Hooper ,lbw b Wasim Akram,6,ODI # 459,West Indies,22,37,-,2,0,59.45
Pakistan VS West Indies,Jeff Dujon †,lbw b Wasim Akram,7,ODI # 459,West Indies,5,12,-,0,0,41.66
Pakistan VS West Indies,Roger Harper ,c Mansoor Akhtar b Imran Khan,8,ODI # 459,West Indies,0,1,-,0,0,0.00
Pakistan VS West Indies,Eldine Baptiste , b Imran Khan,9,ODI # 459,West Indies,14,20,-,1,0,70.00
Pakistan VS West Indies,Courtney Walsh ,lbw b Imran Khan,10,ODI # 459,West Indies,7,6,-,1,0,116.66
Pakistan VS West Indies,Patrick Patterson ,not out ,11,ODI # 459,West Indies,0,4,-,0,0,0.00
Pakistan VS West Indies,Ramiz Raja ,c Richards b Harper,1,ODI # 459,Pakistan,42,87,-,1,0,48.27
Pakistan VS West Indies,Mansoor Akhtar , b Patterson,2,ODI # 459,Pakistan,10,24,-,2,0,41.66
Pakistan VS West Indies,Saleem Malik ,c Baptiste b Walsh,3,ODI # 459,Pakistan,4,7,-,1,0,57.14
Pakistan VS West Indies,Javed Miandad ,c & b Hooper,4,ODI # 459,Pakistan,33,72,-,1,0,45.83
Pakistan VS West Indies,Ijaz Ahmed , b Walsh,5,ODI # 459,Pakistan,6,14,-,0,0,42.85
Pakistan VS West Indies,Imran Khan (c),c Logie b Walsh,6,ODI # 459,Pakistan,18,26,-,0,0,69.23
Pakistan VS West Indies,Saleem Yousuf †,c Hooper b Walsh,7,ODI # 459,Pakistan,56,49,-,7,0,114.28
Pakistan VS West Indies,Wasim Akram ,c Richardson b Patterson,8,ODI # 459,Pakistan,7,8,-,0,0,87.50
Pakistan VS West Indies,Abdul Qadir ,not out ,9,ODI # 459,Pakistan,16,9,-,0,1,177.77
Pakistan VS West Indies,Tauseef Ahmed ,run out ,10,ODI # 459,Pakistan,0,1,-,0,0,0.00
Pakistan VS West Indies,Saleem Jaffar ,not out ,11,ODI # 459,Pakistan,1,3,-,0,0,33.33
India VS New Zealand,Kris Srikkanth ,run out ,1,ODI # 458,India,9,19,29,1,0,47.36
India VS New Zealand,Sunil Gavaskar ,run out ,2,ODI # 458,India,2,14,19,0,0,14.28
India VS New Zealand,Navjot Sidhu ,c Jones b Patel,3,ODI # 458,India,75,71,101,4,4,105.63
India VS New Zealand,Dilip Vengsarkar ,c & b Watson,4,ODI # 458,India,0,8,9,0,0,0.00
India VS New Zealand,Mohammad Azharuddin ,c Boock b Patel,5,ODI # 458,India,21,57,60,1,0,36.84
India VS New Zealand,Ravi Shastri ,c & b Patel,6,ODI # 458,India,22,44,61,0,1,50.00
India VS New Zealand,Kapil Dev (c),not out ,7,ODI # 458,India,72,58,88,4,1,124.13
India VS New Zealand,Manoj Prabhakar ,c & b Chatfield,8,ODI # 458,India,3,5,4,0,0,60.00
India VS New Zealand,Kiran More †,not out ,9,ODI # 458,India,42,26,47,5,0,161.53
India VS New Zealand,Martin Snedden ,c Shastri b Azharuddin,1,ODI # 458,New Zealand,33,63,63,2,0,52.38
India VS New Zealand,Ken Rutherford ,c Srikkanth b Shastri,2,ODI # 458,New Zealand,75,95,121,6,2,78.94
India VS New Zealand,Martin Crowe ,st †More b Maninder Singh,3,ODI # 458,New Zealand,9,12,15,1,0,75.00
India VS New Zealand,Andrew Jones ,run out ,4,ODI # 458,New Zealand,64,86,95,2,0,74.41
India VS New Zealand,Jeff Crowe (c),c Vengsarkar b Maninder Singh,5,ODI # 458,New Zealand,7,11,17,0,0,63.63
India VS New Zealand,Dipak Patel ,run out ,6,ODI # 458,New Zealand,1,3,5,0,0,33.33
India VS New Zealand,John Bracewell ,c Maninder Singh b Shastri,7,ODI # 458,New Zealand,8,14,17,0,0,57.14
India VS New Zealand,Ian Smith †, b Prabhakar,8,ODI # 458,New Zealand,10,5,9,0,0,200.00
India VS New Zealand,Stephen Boock ,not out ,9,ODI # 458,New Zealand,7,8,11,0,0,87.50
India VS New Zealand,Willie Watson ,not out ,10,ODI # 458,New Zealand,2,3,2,0,0,66.66
Sri Lanka VS West Indies,Desmond Haynes , b Gurusinha,1,ODI # 457,West Indies,105,124,-,10,1,84.67
Sri Lanka VS West Indies,Carlisle Best , b Ratnayeke,2,ODI # 457,West Indies,18,30,-,1,0,60.00
Sri Lanka VS West Indies,Richie Richardson ,c †Kuruppu b Ratnayeke,3,ODI # 457,West Indies,0,1,-,0,0,0.00
Sri Lanka VS West Indies,Viv Richards (c),c Mahanama b de Mel,4,ODI # 457,West Indies,181,125,-,16,7,144.80
Sri Lanka VS West Indies,Gus Logie ,not out ,5,ODI # 457,West Indies,31,25,-,0,0,124.00
Sri Lanka VS West Indies,Roger Harper ,not out ,6,ODI # 457,West Indies,5,2,-,0,0,250.00
Sri Lanka VS West Indies,Roshan Mahanama ,c †Dujon b Walsh,1,ODI # 457,Sri Lanka,12,4,-,3,0,300.00
Sri Lanka VS West Indies,Brendon Kuruppu †,lbw b Patterson,2,ODI # 457,Sri Lanka,14,14,-,0,0,100.00
Sri Lanka VS West Indies,Asanka Gurusinha , b Hooper,3,ODI # 457,Sri Lanka,36,108,-,1,1,33.33
Sri Lanka VS West Indies,Aravinda de Silva ,c †Dujon b Hooper,4,ODI # 457,Sri Lanka,9,27,-,0,0,33.33
Sri Lanka VS West Indies,Arjuna Ranatunga ,not out ,5,ODI # 457,Sri Lanka,52,93,-,5,0,55.91
Sri Lanka VS West Indies,Duleep Mendis (c),not out ,6,ODI # 457,Sri Lanka,37,45,-,5,0,82.22
Australia VS Zimbabwe,Geoff Marsh ,c Curran b Omarshah,1,ODI # 456,Australia,62,101,146,8,0,61.38
Australia VS Zimbabwe,David Boon ,c †Houghton b Curran,2,ODI # 456,Australia,2,15,19,0,0,13.33
Australia VS Zimbabwe,Dean Jones ,run out ,3,ODI # 456,Australia,2,12,17,0,0,16.66
Australia VS Zimbabwe,Allan Border (c),c Omarshah b Butchart,4,ODI # 456,Australia,67,88,91,8,0,76.13
Australia VS Zimbabwe,Steve Waugh ,run out ,5,ODI # 456,Australia,45,41,48,3,2,109.75
Australia VS Zimbabwe,Simon O'Donnell ,run out ,6,ODI # 456,Australia,3,11,10,0,0,27.27
Australia VS Zimbabwe,Greg Dyer †,c Paterson b Butchart,7,ODI # 456,Australia,27,20,35,1,2,135.00
Australia VS Zimbabwe,Peter Taylor ,not out ,8,ODI # 456,Australia,17,13,22,1,0,130.76
Australia VS Zimbabwe,Craig McDermott ,c Brown b Curran,9,ODI # 456,Australia,1,3,3,0,0,33.33
Australia VS Zimbabwe,Tim May ,run out ,10,ODI # 456,Australia,1,1,3,0,0,100.00
Australia VS Zimbabwe,Robin Brown , b O'Donnell,1,ODI # 456,Zimbabwe,3,30,35,0,0,10.00
Australia VS Zimbabwe,Grant Paterson ,run out ,2,ODI # 456,Zimbabwe,16,53,51,1,0,30.18
Australia VS Zimbabwe,Dave Houghton †,c O'Donnell b May,3,ODI # 456,Zimbabwe,11,22,46,1,0,50.00
Australia VS Zimbabwe,Andy Pycroft ,run out ,4,ODI # 456,Zimbabwe,9,29,30,1,0,31.03
Australia VS Zimbabwe,Kevin Curran , b O'Donnell,5,ODI # 456,Zimbabwe,30,38,53,1,3,78.94
Australia VS Zimbabwe,Andy Waller ,c & b May,6,ODI # 456,Zimbabwe,19,22,23,1,1,86.36
Australia VS Zimbabwe,Ali Shah , b McDermott,7,ODI # 456,Zimbabwe,2,9,16,0,0,22.22
Australia VS Zimbabwe,Peter Rawson , b Reid,8,ODI # 456,Zimbabwe,15,14,27,2,0,107.14
Australia VS Zimbabwe,Iain Butchart ,c Jones b O'Donnell,9,ODI # 456,Zimbabwe,18,32,39,2,0,56.25
Australia VS Zimbabwe,John Traicos (c),c & b O'Donnell,10,ODI # 456,Zimbabwe,6,5,11,1,0,120.00
Australia VS Zimbabwe,Malcolm Jarvis ,not out ,11,ODI # 456,Zimbabwe,1,1,2,0,0,100.00
Pakistan VS England,Mansoor Akhtar ,c †Downton b Foster,1,ODI # 455,Pakistan,6,24,-,1,0,25.00
Pakistan VS England,Ramiz Raja ,run out ,2,ODI # 455,Pakistan,15,40,-,1,0,37.50
