VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Australia VS Sri Lanka,ODI # 733,Champaka Ramanayake,9,Australia,1,44,0,4.88,-,-,-,2,5
Australia VS Sri Lanka,ODI # 733,Don Anurasiri,10,Australia,0,43,0,4.30,-,-,-,0,0
Australia VS Sri Lanka,ODI # 733,Asanka Gurusinha,6,Australia,0,20,0,3.33,-,-,-,0,0
Australia VS Sri Lanka,ODI # 733,Arjuna Ranatunga,1,Australia,0,11,0,11.00,-,-,-,0,0
Australia VS Sri Lanka,ODI # 733,Ruwan Kalpage,8,Australia,0,41,1,5.12,-,-,-,0,0
India VS Zimbabwe,ODI # 732,Eddo Brandes,7,India,0,43,1,6.14,-,-,-,0,0
India VS Zimbabwe,ODI # 732,Kevin Duers,7,India,0,48,0,6.85,-,-,-,0,0
India VS Zimbabwe,ODI # 732,Mark Burmester,6,India,0,36,3,6.00,-,-,-,3,0
India VS Zimbabwe,ODI # 732,Ali Shah,6,India,1,38,0,6.33,-,-,-,0,0
India VS Zimbabwe,ODI # 732,John Traicos,6,India,0,35,3,5.83,-,-,-,0,0
India VS Zimbabwe,ODI # 732,Kapil Dev,4,Zimbabwe,0,6,0,1.50,-,-,-,2,0
India VS Zimbabwe,ODI # 732,Manoj Prabhakar,3,Zimbabwe,0,14,0,4.66,-,-,-,1,0
India VS Zimbabwe,ODI # 732,Javagal Srinath,4,Zimbabwe,0,20,0,5.00,-,-,-,1,0
India VS Zimbabwe,ODI # 732,Sachin Tendulkar,6,Zimbabwe,0,35,1,5.83,-,-,-,1,0
India VS Zimbabwe,ODI # 732,Venkatapathy Raju,2.1,Zimbabwe,0,17,0,7.84,-,-,-,0,0
Australia VS England,ODI # 731,Derek Pringle,9,Australia,1,24,1,2.66,-,-,-,1,4
Australia VS England,ODI # 731,Chris Lewis,10,Australia,2,28,0,2.80,-,-,-,2,0
Australia VS England,ODI # 731,Phil DeFreitas,10,Australia,3,23,1,2.30,-,-,-,1,0
Australia VS England,ODI # 731,Ian Botham,10,Australia,1,31,4,3.10,-,-,-,1,0
Australia VS England,ODI # 731,Phil Tufnell,9,Australia,0,52,1,5.77,-,-,-,0,1
Australia VS England,ODI # 731,Dermot Reeve,1,Australia,0,3,1,3.00,-,-,-,0,0
Australia VS England,ODI # 731,Craig McDermott,10,England,1,29,0,2.90,-,-,-,3,1
Australia VS England,ODI # 731,Bruce Reid,7.5,England,0,49,0,6.25,-,-,-,2,5
Australia VS England,ODI # 731,Mike Whitney,10,England,2,28,1,2.80,-,-,-,1,0
Australia VS England,ODI # 731,Steve Waugh,6,England,0,29,1,4.83,-,-,-,2,0
Australia VS England,ODI # 731,Peter Taylor,3,England,0,7,0,2.33,-,-,-,0,0
Australia VS England,ODI # 731,Tom Moody,4,England,0,18,0,4.50,-,-,-,0,0
South Africa VS West Indies,ODI # 730,Curtly Ambrose,10,South Africa,1,34,2,3.40,-,-,-,0,3
South Africa VS West Indies,ODI # 730,Malcolm Marshall,10,South Africa,1,26,2,2.60,-,-,-,0,0
South Africa VS West Indies,ODI # 730,Carl Hooper,10,South Africa,0,45,1,4.50,-,-,-,2,0
South Africa VS West Indies,ODI # 730,Anderson Cummins,10,South Africa,0,40,2,4.00,-,-,-,0,4
South Africa VS West Indies,ODI # 730,Winston Benjamin,10,South Africa,0,47,1,4.70,-,-,-,1,0
South Africa VS West Indies,ODI # 730,Allan Donald,6.4,West Indies,2,13,1,1.95,-,-,-,1,0
South Africa VS West Indies,ODI # 730,Meyrick Pringle,8,West Indies,4,11,4,1.37,-,-,-,0,0
South Africa VS West Indies,ODI # 730,Richard Snell,7,West Indies,2,16,2,2.28,-,-,-,0,0
South Africa VS West Indies,ODI # 730,Brian McMillan,8,West Indies,2,36,0,4.50,-,-,-,0,0
South Africa VS West Indies,ODI # 730,Adrian Kuiper,9,West Indies,0,51,2,5.66,-,-,-,0,0
India VS Pakistan,ODI # 729,Wasim Akram,10,India,0,45,0,4.50,33,0,0,5,4
India VS Pakistan,ODI # 729,Aaqib Javed,8,India,2,28,2,3.50,30,2,0,0,0
India VS Pakistan,ODI # 729,Imran Khan,8,India,0,25,0,3.12,33,2,0,1,0
India VS Pakistan,ODI # 729,Wasim Haider,10,India,1,36,1,3.60,36,1,0,1,1
India VS Pakistan,ODI # 729,Mushtaq Ahmed,10,India,0,59,3,5.90,27,4,1,1,0
India VS Pakistan,ODI # 729,Aamer Sohail,3,India,0,20,0,6.66,8,2,0,1,0
India VS Pakistan,ODI # 729,Kapil Dev,10,Pakistan,0,30,2,3.00,46,1,0,5,2
India VS Pakistan,ODI # 729,Manoj Prabhakar,10,Pakistan,1,22,2,2.20,46,1,0,4,0
India VS Pakistan,ODI # 729,Javagal Srinath,8.1,Pakistan,0,37,2,4.53,34,5,0,1,2
India VS Pakistan,ODI # 729,Sachin Tendulkar,10,Pakistan,0,37,1,3.70,37,2,0,5,1
India VS Pakistan,ODI # 729,Venkatapathy Raju,10,Pakistan,1,41,1,4.10,32,2,0,0,0
New Zealand VS Zimbabwe,ODI # 728,Eddo Brandes,5,New Zealand,1,28,1,5.60,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Kevin Duers,6,New Zealand,0,17,1,2.83,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Ali Shah,4,New Zealand,0,34,0,8.50,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Iain Butchart,4,New Zealand,0,53,1,13.25,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Mark Burmester,1.5,New Zealand,0,17,0,9.27,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Danny Morrison,4,Zimbabwe,0,14,1,3.50,-,-,-,2,1
New Zealand VS Zimbabwe,ODI # 728,Chris Cairns,2,Zimbabwe,0,27,0,13.50,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Gavin Larsen,4,Zimbabwe,0,16,3,4.00,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Chris Harris,4,Zimbabwe,0,15,3,3.75,-,-,-,1,0
New Zealand VS Zimbabwe,ODI # 728,Rod Latham,3,Zimbabwe,0,18,0,6.00,-,-,-,0,0
New Zealand VS Zimbabwe,ODI # 728,Martin Crowe,1,Zimbabwe,0,6,0,6.00,-,-,-,0,0
South Africa VS Sri Lanka,ODI # 727,Champaka Ramanayake,9,South Africa,2,19,1,2.11,-,-,-,0,1
South Africa VS Sri Lanka,ODI # 727,Pramodya Wickramasinghe,7,South Africa,0,32,1,4.57,-,-,-,1,0
South Africa VS Sri Lanka,ODI # 727,Don Anurasiri,10,South Africa,1,41,3,4.10,-,-,-,0,0
South Africa VS Sri Lanka,ODI # 727,Ruwan Kalpage,10,South Africa,0,38,1,3.80,-,-,-,2,0
South Africa VS Sri Lanka,ODI # 727,Asanka Gurusinha,8,South Africa,0,30,0,3.75,-,-,-,0,0
South Africa VS Sri Lanka,ODI # 727,Arjuna Ranatunga,6,South Africa,0,26,2,4.33,-,-,-,1,0
South Africa VS Sri Lanka,ODI # 727,Brian McMillan,10,Sri Lanka,2,34,1,3.40,-,-,-,0,4
South Africa VS Sri Lanka,ODI # 727,Allan Donald,9.5,Sri Lanka,0,42,3,4.27,-,-,-,8,1
South Africa VS Sri Lanka,ODI # 727,Richard Snell,10,Sri Lanka,1,33,0,3.30,-,-,-,2,0
South Africa VS Sri Lanka,ODI # 727,Omar Henry,10,Sri Lanka,0,31,1,3.10,-,-,-,2,2
South Africa VS Sri Lanka,ODI # 727,Adrian Kuiper,5,Sri Lanka,0,25,0,5.00,-,-,-,1,0
South Africa VS Sri Lanka,ODI # 727,Peter Kirsten,5,Sri Lanka,0,25,1,5.00,-,-,-,0,0
England VS Pakistan,ODI # 726,Derek Pringle,8.2,Pakistan,5,8,3,0.96,-,-,-,0,1
England VS Pakistan,ODI # 726,Phil DeFreitas,7,Pakistan,1,22,2,3.14,-,-,-,7,0
England VS Pakistan,ODI # 726,Gladstone Small,10,Pakistan,1,29,2,2.90,-,-,-,1,0
England VS Pakistan,ODI # 726,Ian Botham,10,Pakistan,4,12,2,1.20,-,-,-,0,0
England VS Pakistan,ODI # 726,Dermot Reeve,5,Pakistan,3,2,1,0.40,-,-,-,0,0
England VS Pakistan,ODI # 726,Wasim Akram,3,England,0,7,1,2.33,-,-,-,3,1
England VS Pakistan,ODI # 726,Aaqib Javed,3,England,1,7,0,2.33,-,-,-,2,0
England VS Pakistan,ODI # 726,Wasim Haider,1,England,0,1,0,1.00,-,-,-,0,0
England VS Pakistan,ODI # 726,Ijaz Ahmed,1,England,0,5,0,5.00,-,-,-,0,0
Australia VS India,ODI # 725,Kapil Dev,10,Australia,2,41,3,4.10,-,-,-,1,4
Australia VS India,ODI # 725,Manoj Prabhakar,10,Australia,0,41,3,4.10,-,-,-,2,1
Australia VS India,ODI # 725,Javagal Srinath,8,Australia,0,48,1,6.00,-,-,-,1,2
Australia VS India,ODI # 725,Sachin Tendulkar,5,Australia,0,29,0,5.80,-,-,-,1,0
Australia VS India,ODI # 725,Venkatapathy Raju,10,Australia,0,37,1,3.70,-,-,-,0,0
Australia VS India,ODI # 725,Ajay Jadeja,7,Australia,0,34,0,4.85,-,-,-,0,0
Australia VS India,ODI # 725,Craig McDermott,9,India,1,35,1,3.88,-,-,-,1,0
Australia VS India,ODI # 725,Mike Whitney,10,India,2,36,0,3.60,-,-,-,3,0
Australia VS India,ODI # 725,Merv Hughes,9,India,1,49,1,5.44,-,-,-,0,0
Australia VS India,ODI # 725,Tom Moody,9,India,0,56,3,6.22,-,-,-,0,0
Australia VS India,ODI # 725,Steve Waugh,10,India,0,50,1,5.00,-,-,-,1,0
West Indies VS Zimbabwe,ODI # 724,Eddo Brandes,10,West Indies,1,45,3,4.50,-,-,-,2,1
West Indies VS Zimbabwe,ODI # 724,Malcolm Jarvis,10,West Indies,1,71,1,7.10,-,-,-,0,0
West Indies VS Zimbabwe,ODI # 724,Kevin Duers,10,West Indies,0,52,1,5.20,-,-,-,0,0
West Indies VS Zimbabwe,ODI # 724,Ali Shah,10,West Indies,2,39,1,3.90,-,-,-,0,0
West Indies VS Zimbabwe,ODI # 724,John Traicos,10,West Indies,0,50,1,5.00,-,-,-,0,0
West Indies VS Zimbabwe,ODI # 724,Patrick Patterson,10,Zimbabwe,0,25,1,2.50,-,-,-,1,0
West Indies VS Zimbabwe,ODI # 724,Malcolm Marshall,6,Zimbabwe,0,23,0,3.83,-,-,-,0,2
West Indies VS Zimbabwe,ODI # 724,Winston Benjamin,10,Zimbabwe,2,27,3,2.70,-,-,-,3,3
West Indies VS Zimbabwe,ODI # 724,Anderson Cummins,10,Zimbabwe,0,33,0,3.30,-,-,-,1,3
West Indies VS Zimbabwe,ODI # 724,Carl Hooper,10,Zimbabwe,0,47,2,4.70,-,-,-,0,0
West Indies VS Zimbabwe,ODI # 724,Keith Arthurton,4,Zimbabwe,0,25,0,6.25,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Willie Watson,10,South Africa,2,30,2,3.00,-,-,-,0,2
New Zealand VS South Africa,ODI # 723,Dipak Patel,10,South Africa,1,28,1,2.80,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Gavin Larsen,10,South Africa,1,29,0,2.90,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Chris Harris,10,South Africa,2,33,1,3.30,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Rod Latham,2,South Africa,0,19,0,9.50,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Chris Cairns,8,South Africa,0,43,2,5.37,-,-,-,0,1
New Zealand VS South Africa,ODI # 723,Allan Donald,10,New Zealand,0,38,1,3.80,-,-,-,1,2
New Zealand VS South Africa,ODI # 723,Brian McMillan,5,New Zealand,1,23,0,4.60,-,-,-,3,0
New Zealand VS South Africa,ODI # 723,Richard Snell,7,New Zealand,0,56,1,8.00,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Tertius Bosch,2.3,New Zealand,0,19,0,7.60,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Hansie Cronje,2,New Zealand,0,14,0,7.00,-,-,-,1,0
New Zealand VS South Africa,ODI # 723,Adrian Kuiper,1,New Zealand,0,18,0,18.00,-,-,-,0,0
New Zealand VS South Africa,ODI # 723,Peter Kirsten,7,New Zealand,1,22,1,3.14,-,-,-,0,0
India VS Sri Lanka,ODI # 722,Champaka Ramanayake,0.2,India,0,1,0,3.00,-,-,-,0,0
England VS West Indies,ODI # 721,Derek Pringle,7,West Indies,3,16,0,2.28,-,-,-,0,0
England VS West Indies,ODI # 721,Chris Lewis,8.2,West Indies,1,30,3,3.60,-,-,-,0,1
England VS West Indies,ODI # 721,Phil DeFreitas,9,West Indies,2,34,3,3.77,-,-,-,2,0
England VS West Indies,ODI # 721,Ian Botham,10,West Indies,0,30,1,3.00,-,-,-,0,0
England VS West Indies,ODI # 721,Dermot Reeve,10,West Indies,1,23,1,2.30,-,-,-,1,0
England VS West Indies,ODI # 721,Phil Tufnell,5,West Indies,0,20,0,4.00,-,-,-,0,0
England VS West Indies,ODI # 721,Curtly Ambrose,8,England,1,26,0,3.25,-,-,-,0,0
England VS West Indies,ODI # 721,Malcolm Marshall,8,England,0,37,0,4.62,-,-,-,2,0
England VS West Indies,ODI # 721,Winston Benjamin,9.5,England,2,22,2,2.23,-,-,-,2,1
England VS West Indies,ODI # 721,Carl Hooper,10,England,1,38,1,3.80,-,-,-,0,0
England VS West Indies,ODI # 721,Roger Harper,4,England,0,30,1,7.50,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Eddo Brandes,10,Pakistan,1,49,0,4.90,-,-,-,0,4
Pakistan VS Zimbabwe,ODI # 720,Malcolm Jarvis,10,Pakistan,1,52,1,5.20,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Ali Shah,10,Pakistan,1,24,0,2.40,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Iain Butchart,10,Pakistan,0,57,3,5.70,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,John Traicos,10,Pakistan,0,63,0,6.30,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Wasim Akram,10,Zimbabwe,2,21,3,2.10,-,-,-,3,0
Pakistan VS Zimbabwe,ODI # 720,Aaqib Javed,10,Zimbabwe,1,49,1,4.90,-,-,-,1,0
Pakistan VS Zimbabwe,ODI # 720,Iqbal Sikander,10,Zimbabwe,1,35,1,3.50,-,-,-,1,0
Pakistan VS Zimbabwe,ODI # 720,Mushtaq Ahmed,10,Zimbabwe,1,34,0,3.40,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Aamer Sohail,6,Zimbabwe,1,26,2,4.33,-,-,-,0,0
Pakistan VS Zimbabwe,ODI # 720,Saleem Malik,4,Zimbabwe,0,18,0,4.50,-,-,-,1,0
Australia VS South Africa,ODI # 719,Allan Donald,10,Australia,0,34,3,3.40,-,-,-,5,0
Australia VS South Africa,ODI # 719,Meyrick Pringle,10,Australia,0,52,0,5.20,-,-,-,1,2
Australia VS South Africa,ODI # 719,Richard Snell,9,Australia,1,15,0,1.66,-,-,-,0,0
Australia VS South Africa,ODI # 719,Brian McMillan,10,Australia,0,35,2,3.50,-,-,-,3,2
Australia VS South Africa,ODI # 719,Adrian Kuiper,5,Australia,0,15,2,3.00,-,-,-,1,0
Australia VS South Africa,ODI # 719,Hansie Cronje,5,Australia,1,17,0,3.40,-,-,-,1,0
Australia VS South Africa,ODI # 719,Craig McDermott,10,South Africa,1,23,0,2.30,-,-,-,0,2
Australia VS South Africa,ODI # 719,Bruce Reid,8.5,South Africa,0,41,0,4.64,-,-,-,4,0
Australia VS South Africa,ODI # 719,Mike Whitney,6,South Africa,0,26,0,4.33,-,-,-,0,0
Australia VS South Africa,ODI # 719,Steve Waugh,4,South Africa,1,16,0,4.00,-,-,-,1,0
Australia VS South Africa,ODI # 719,Peter Taylor,10,South Africa,1,32,1,3.20,-,-,-,1,0
Australia VS South Africa,ODI # 719,Allan Border,4,South Africa,0,13,0,3.25,-,-,-,0,0
Australia VS South Africa,ODI # 719,Tom Moody,4,South Africa,0,15,0,3.75,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Danny Morrison,8,Sri Lanka,0,36,0,4.50,-,-,-,1,2
New Zealand VS Sri Lanka,ODI # 718,Willie Watson,10,Sri Lanka,0,37,3,3.70,-,-,-,1,2
New Zealand VS Sri Lanka,ODI # 718,Gavin Larsen,10,Sri Lanka,1,29,0,2.90,-,-,-,1,0
New Zealand VS Sri Lanka,ODI # 718,Chris Harris,10,Sri Lanka,0,43,3,4.30,-,-,-,1,1
New Zealand VS Sri Lanka,ODI # 718,Rod Latham,3,Sri Lanka,0,13,0,4.33,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Dipak Patel,9,Sri Lanka,0,32,0,3.55,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Champaka Ramanayake,9.2,New Zealand,0,46,0,4.92,-,-,-,2,2
New Zealand VS Sri Lanka,ODI # 718,Pramodya Wickramasinghe,8,New Zealand,1,40,1,5.00,-,-,-,1,0
New Zealand VS Sri Lanka,ODI # 718,Don Anurasiri,10,New Zealand,1,27,0,2.70,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Ruwan Kalpage,10,New Zealand,0,33,2,3.30,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Asanka Gurusinha,4,New Zealand,0,19,1,4.75,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Arjuna Ranatunga,4,New Zealand,0,22,0,5.50,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Sanath Jayasuriya,2,New Zealand,0,14,0,7.00,-,-,-,0,0
New Zealand VS Sri Lanka,ODI # 718,Aravinda de Silva,1,New Zealand,0,6,0,6.00,-,-,-,1,0
Pakistan VS West Indies,ODI # 717,Malcolm Marshall,10,Pakistan,1,53,0,5.30,-,-,-,3,0
Pakistan VS West Indies,ODI # 717,Curtly Ambrose,10,Pakistan,0,40,0,4.00,-,-,-,1,2
Pakistan VS West Indies,ODI # 717,Winston Benjamin,10,Pakistan,0,49,1,4.90,-,-,-,1,0
Pakistan VS West Indies,ODI # 717,Carl Hooper,10,Pakistan,0,41,0,4.10,-,-,-,0,0
Pakistan VS West Indies,ODI # 717,Roger Harper,10,Pakistan,0,33,1,3.30,-,-,-,0,0
Pakistan VS West Indies,ODI # 717,Wasim Akram,10,West Indies,0,37,0,3.70,-,-,-,7,0
Pakistan VS West Indies,ODI # 717,Aaqib Javed,8.5,West Indies,0,42,0,4.75,-,-,-,0,2
Pakistan VS West Indies,ODI # 717,Wasim Haider,8,West Indies,0,42,0,5.25,-,-,-,0,1
Pakistan VS West Indies,ODI # 717,Ijaz Ahmed,6,West Indies,1,29,0,4.83,-,-,-,0,0
Pakistan VS West Indies,ODI # 717,Iqbal Sikander,8,West Indies,1,26,0,3.25,-,-,-,0,0
Pakistan VS West Indies,ODI # 717,Aamer Sohail,6,West Indies,0,35,0,5.83,-,-,-,0,0
Sri Lanka VS Zimbabwe,ODI # 716,Champaka Ramanayake,10,Zimbabwe,0,59,0,5.90,-,-,-,3,1
Sri Lanka VS Zimbabwe,ODI # 716,Kapila Wijegunawardene,7,Zimbabwe,0,54,0,7.71,-,-,-,3,5
Sri Lanka VS Zimbabwe,ODI # 716,Pramodya Wickramasinghe,10,Zimbabwe,1,50,2,5.00,-,-,-,1,2
Sri Lanka VS Zimbabwe,ODI # 716,Asanka Gurusinha,10,Zimbabwe,0,72,2,7.20,-,-,-,6,0
Sri Lanka VS Zimbabwe,ODI # 716,Ruwan Kalpage,10,Zimbabwe,0,51,0,5.10,-,-,-,0,0
Sri Lanka VS Zimbabwe,ODI # 716,Sanath Jayasuriya,3,Zimbabwe,0,18,0,6.00,-,-,-,0,0
Sri Lanka VS Zimbabwe,ODI # 716,Malcolm Jarvis,9.2,Sri Lanka,0,51,1,5.46,-,-,-,1,0
Sri Lanka VS Zimbabwe,ODI # 716,Eddo Brandes,10,Sri Lanka,0,70,3,7.00,-,-,-,0,0
Sri Lanka VS Zimbabwe,ODI # 716,Kevin Duers,10,Sri Lanka,0,72,0,7.20,-,-,-,0,0
Sri Lanka VS Zimbabwe,ODI # 716,Iain Butchart,8,Sri Lanka,0,63,0,7.87,-,-,-,3,0
Sri Lanka VS Zimbabwe,ODI # 716,John Traicos,10,Sri Lanka,1,33,1,3.30,-,-,-,1,0
Sri Lanka VS Zimbabwe,ODI # 716,Dave Houghton,2,Sri Lanka,0,19,1,9.50,-,-,-,0,0
England VS India,ODI # 715,Kapil Dev,10,England,0,38,2,3.80,-,-,-,6,0
England VS India,ODI # 715,Manoj Prabhakar,10,England,3,34,2,3.40,-,-,-,0,0
England VS India,ODI # 715,Javagal Srinath,9,England,1,47,2,5.22,-,-,-,5,0
England VS India,ODI # 715,Subroto Banerjee,7,England,0,45,1,6.42,-,-,-,0,0
England VS India,ODI # 715,Sachin Tendulkar,10,England,0,37,0,3.70,-,-,-,1,0
England VS India,ODI # 715,Ravi Shastri,4,England,0,28,1,7.00,-,-,-,1,0
England VS India,ODI # 715,Derek Pringle,10,India,0,53,0,5.30,-,-,-,1,0
England VS India,ODI # 715,Chris Lewis,9.2,India,0,36,0,3.85,-,-,-,5,1
England VS India,ODI # 715,Phil DeFreitas,10,India,0,39,1,3.90,-,-,-,0,0
England VS India,ODI # 715,Dermot Reeve,6,India,0,38,3,6.33,-,-,-,1,0
England VS India,ODI # 715,Ian Botham,10,India,0,27,2,2.70,-,-,-,0,0
England VS India,ODI # 715,Phil Tufnell,4,India,0,25,0,6.25,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Craig McDermott,10,New Zealand,1,43,2,4.30,-,-,-,2,0
New Zealand VS Australia,ODI # 714,Bruce Reid,10,New Zealand,0,39,1,3.90,-,-,-,2,4
New Zealand VS Australia,ODI # 714,Tom Moody,9,New Zealand,1,37,1,4.11,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Steve Waugh,10,New Zealand,0,60,0,6.00,-,-,-,2,0
New Zealand VS Australia,ODI # 714,Peter Taylor,7,New Zealand,0,36,0,5.14,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Mark Waugh,4,New Zealand,0,27,0,6.75,-,-,-,1,0
New Zealand VS Australia,ODI # 714,Chris Cairns,4,Australia,0,30,0,7.50,-,-,-,1,1
New Zealand VS Australia,ODI # 714,Dipak Patel,10,Australia,1,36,1,3.60,-,-,-,1,0
New Zealand VS Australia,ODI # 714,Willie Watson,9,Australia,1,39,1,4.33,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Gavin Larsen,10,Australia,1,30,3,3.00,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Chris Harris,7.1,Australia,0,35,1,4.88,-,-,-,0,0
New Zealand VS Australia,ODI # 714,Rod Latham,8,Australia,0,35,1,4.37,-,-,-,0,0
Australia VS Sri Lanka,ODI # 1083,Pramodya Wickramasinghe,7,Australia,0,38,0,5.42,-,-,-,2,0
Australia VS Sri Lanka,ODI # 1083,Chaminda Vaas,6,Australia,1,30,1,5.00,-,-,-,0,0
Australia VS Sri Lanka,ODI # 1083,Muthiah Muralidaran,10,Australia,0,31,1,3.10,-,-,-,1,0
Australia VS Sri Lanka,ODI # 1083,Kumar Dharmasena,10,Australia,0,47,1,4.70,-,-,-,0,1
Australia VS Sri Lanka,ODI # 1083,Sanath Jayasuriya,8,Australia,0,43,1,5.37,-,-,-,5,0
Australia VS Sri Lanka,ODI # 1083,Aravinda de Silva,9,Australia,0,42,3,4.66,-,-,-,3,0
Australia VS Sri Lanka,ODI # 1083,Glenn McGrath,8.2,Sri Lanka,1,28,0,3.36,-,-,-,0,0
Australia VS Sri Lanka,ODI # 1083,Damien Fleming,6,Sri Lanka,0,43,1,7.16,-,-,-,4,0
Australia VS Sri Lanka,ODI # 1083,Shane Warne,10,Sri Lanka,0,58,0,5.80,-,-,-,1,1
Australia VS Sri Lanka,ODI # 1083,Paul Reiffel,10,Sri Lanka,0,49,1,4.90,-,-,-,0,0
Australia VS Sri Lanka,ODI # 1083,Mark Waugh,6,Sri Lanka,0,35,0,5.83,-,-,-,0,0
Australia VS Sri Lanka,ODI # 1083,Steve Waugh,3,Sri Lanka,0,15,0,5.00,-,-,-,0,1
Australia VS Sri Lanka,ODI # 1083,Michael Bevan,3,Sri Lanka,0,12,0,4.00,-,-,-,0,0
Australia VS West Indies,ODI # 1082,Curtly Ambrose,10,Australia,1,26,2,2.60,42,1,0,3,0
Australia VS West Indies,ODI # 1082,Ian Bishop,10,Australia,1,35,2,3.50,42,1,0,1,3
Australia VS West Indies,ODI # 1082,Courtney Walsh,10,Australia,1,33,0,3.30,37,2,0,0,1
Australia VS West Indies,ODI # 1082,Ottis Gibson,2,Australia,0,13,0,6.50,8,2,0,0,1
Australia VS West Indies,ODI # 1082,Roger Harper,9,Australia,0,47,1,5.22,30,4,1,0,0
Australia VS West Indies,ODI # 1082,Jimmy Adams,9,Australia,0,42,0,4.66,23,1,0,1,0
Australia VS West Indies,ODI # 1082,Glenn McGrath,10,West Indies,2,30,2,3.00,42,1,0,0,1
Australia VS West Indies,ODI # 1082,Damien Fleming,8.3,West Indies,0,48,2,5.64,30,7,0,1,0
Australia VS West Indies,ODI # 1082,Shane Warne,9,West Indies,0,36,4,4.00,33,1,0,1,0
Australia VS West Indies,ODI # 1082,Mark Waugh,4,West Indies,0,16,0,4.00,11,0,0,0,0
Australia VS West Indies,ODI # 1082,Steve Waugh,7,West Indies,0,30,1,4.28,27,4,0,0,0
Australia VS West Indies,ODI # 1082,Paul Reiffel,5,West Indies,0,13,0,2.60,21,0,0,0,1
Australia VS West Indies,ODI # 1082,Michael Bevan,4,West Indies,1,12,0,3.00,16,1,0,0,0
Australia VS West Indies,ODI # 1082,Stuart Law,2,West Indies,0,13,0,6.50,5,2,0,0,0
India VS Sri Lanka,ODI # 1081,Javagal Srinath,7,Sri Lanka,1,34,3,4.85,-,-,-,0,0
India VS Sri Lanka,ODI # 1081,Anil Kumble,10,Sri Lanka,0,51,1,5.10,-,-,-,1,0
India VS Sri Lanka,ODI # 1081,Venkatesh Prasad,8,Sri Lanka,0,50,1,6.25,-,-,-,2,2
India VS Sri Lanka,ODI # 1081,Aashish Kapoor,10,Sri Lanka,0,40,0,4.00,-,-,-,0,0
India VS Sri Lanka,ODI # 1081,Ajay Jadeja,5,Sri Lanka,0,31,0,6.20,-,-,-,0,0
India VS Sri Lanka,ODI # 1081,Sachin Tendulkar,10,Sri Lanka,1,34,2,3.40,-,-,-,1,0
India VS Sri Lanka,ODI # 1081,Pramodya Wickramasinghe,5,India,0,24,0,4.80,-,-,-,2,0
India VS Sri Lanka,ODI # 1081,Chaminda Vaas,6,India,1,23,1,3.83,-,-,-,0,0
India VS Sri Lanka,ODI # 1081,Muthiah Muralidaran,7.1,India,0,29,1,4.04,-,-,-,1,0
India VS Sri Lanka,ODI # 1081,Kumar Dharmasena,7,India,0,24,1,3.42,-,-,-,0,0
India VS Sri Lanka,ODI # 1081,Sanath Jayasuriya,7,India,1,12,3,1.71,-,-,-,1,0
India VS Sri Lanka,ODI # 1081,Aravinda de Silva,2,India,0,3,1,1.50,-,-,-,1,0
Australia VS New Zealand,ODI # 1080,Paul Reiffel,4,New Zealand,0,38,1,9.50,-,-,-,1,3
Australia VS New Zealand,ODI # 1080,Damien Fleming,5,New Zealand,1,20,1,4.00,-,-,-,0,0
Australia VS New Zealand,ODI # 1080,Glenn McGrath,9,New Zealand,2,50,2,5.55,-,-,-,0,1
