VS,Match Id,Bowling,O,Teaminnings,M,R,W,ECON,0s,4s,6s,WD,NB
Australia VS West Indies,ODI # 29,Greg Chappell,4,West Indies,0,13,0,3.25,-,-,-,0,0
Australia VS West Indies,ODI # 29,Ashley Mallett,11,West Indies,2,35,1,3.18,-,-,-,0,0
Australia VS West Indies,ODI # 29,Ian Chappell,3,West Indies,1,9,0,3.00,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Tony Opatha,12,Pakistan,0,67,2,5.58,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Mevan Pieris,9,Pakistan,0,54,0,6.00,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Ajit de Silva,7,Pakistan,1,46,0,6.57,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Somachandra De Silva,12,Pakistan,1,61,1,5.08,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Lalith Kaluperuma,9,Pakistan,1,35,0,3.88,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Bandula Warnapura,8,Pakistan,0,42,3,5.25,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Anura Ranasinghe,3,Pakistan,0,10,0,3.33,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Asif Masood,6,Sri Lanka,2,14,0,2.33,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Imran Khan,7.1,Sri Lanka,3,15,3,2.09,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Javed Miandad,7,Sri Lanka,2,22,2,3.14,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Naseer Malik,6,Sri Lanka,1,19,1,3.16,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Sadiq Mohammad,6,Sri Lanka,1,20,2,3.33,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Wasim Raja,7,Sri Lanka,4,7,1,1.00,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Mushtaq Mohammad,5,Sri Lanka,0,16,0,3.20,-,-,-,0,0
Pakistan VS Sri Lanka,ODI # 30,Pervez Mir,6,Sri Lanka,1,17,1,2.83,-,-,-,0,0
England VS New Zealand,ODI # 23,Richard Collinge,12,England,2,43,2,3.58,-,-,-,0,0
England VS New Zealand,ODI # 23,Richard Hadlee,12,England,2,66,1,5.50,-,-,-,0,0
England VS New Zealand,ODI # 23,Dayle Hadlee,12,England,1,55,2,4.58,-,-,-,0,0
England VS New Zealand,ODI # 23,Brian McKechnie,12,England,2,38,0,3.16,-,-,-,0,0
England VS New Zealand,ODI # 23,Hedley Howarth,12,England,2,56,0,4.66,-,-,-,0,0
England VS New Zealand,ODI # 23,Geoff Arnold,12,New Zealand,3,35,1,2.91,-,-,-,0,0
England VS New Zealand,ODI # 23,Peter Lever,12,New Zealand,0,37,1,3.08,-,-,-,0,0
England VS New Zealand,ODI # 23,Chris Old,12,New Zealand,2,29,2,2.41,-,-,-,0,0
England VS New Zealand,ODI # 23,Tony Greig,12,New Zealand,0,45,4,3.75,-,-,-,0,0
England VS New Zealand,ODI # 23,Derek Underwood,12,New Zealand,2,30,2,2.50,-,-,-,0,0
East Africa VS India,ODI # 24,Syed Abid Ali,12,East Africa,5,22,2,1.83,-,-,-,0,0
East Africa VS India,ODI # 24,Madan Lal,9.3,East Africa,2,15,3,1.57,-,-,-,0,0
East Africa VS India,ODI # 24,Bishan Bedi,12,East Africa,8,6,1,0.50,-,-,-,0,0
East Africa VS India,ODI # 24,Srinivas Venkataraghavan,12,East Africa,4,29,0,2.41,-,-,-,0,0
East Africa VS India,ODI # 24,Mohinder Amarnath,10,East Africa,0,39,2,3.90,-,-,-,0,0
East Africa VS India,ODI # 24,Frasat Ali,6,India,1,17,0,2.83,-,-,-,0,0
East Africa VS India,ODI # 24,Don Pringle,3,India,0,14,0,4.66,-,-,-,0,0
East Africa VS India,ODI # 24,Zulfiqar Ali,11,India,3,32,0,2.90,-,-,-,0,0
East Africa VS India,ODI # 24,Parbhu Nana,4.5,India,0,36,0,7.44,-,-,-,0,0
East Africa VS India,ODI # 24,Ramesh Sethi,5,India,0,20,0,4.00,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Tony Opatha,9,Australia,0,32,0,3.55,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Mevan Pieris,11,Australia,0,68,2,6.18,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Bandula Warnapura,9,Australia,0,40,0,4.44,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Anura Ranasinghe,7,Australia,0,55,0,7.85,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Somachandra De Silva,12,Australia,3,60,2,5.00,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Lalith Kaluperuma,12,Australia,0,50,1,4.16,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Dennis Lillee,10,Sri Lanka,0,42,0,4.20,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Jeff Thomson,12,Sri Lanka,5,22,1,1.83,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Ashley Mallett,12,Sri Lanka,0,72,1,6.00,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Doug Walters,6,Sri Lanka,1,33,0,5.50,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Max Walker,12,Sri Lanka,1,44,0,3.66,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Greg Chappell,4,Sri Lanka,0,25,0,6.25,-,-,-,0,0
Australia VS Sri Lanka,ODI # 25,Ian Chappell,4,Sri Lanka,0,14,2,3.50,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Andy Roberts,12,Pakistan,1,47,1,3.91,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Keith Boyce,12,Pakistan,2,44,1,3.66,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Bernard Julien,12,Pakistan,1,41,1,3.41,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Vanburn Holder,12,Pakistan,3,56,0,4.66,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Viv Richards,4,Pakistan,0,21,1,5.25,-,-,-,0,0
Pakistan VS West Indies,ODI # 26,Clive Lloyd,8,Pakistan,1,31,1,3.87,-,-,-,0,0
