VS,Player, ,Batting Possition,Match Id,Teaminnings,Runs,Balls,Mins,Fours,Sixs,Strike Rate
Australia VS West Indies,Roy Fredericks,hit wicket b Lillee,1.0,ODI # 33,West Indies,7.0,13.0,14.0,0.0,0.0,53.84
Australia VS West Indies,Gordon Greenidge,c †Marsh b Thomson,2.0,ODI # 33,West Indies,13.0,61.0,80.0,1.0,0.0,21.31
Australia VS West Indies,Alvin Kallicharran,c †Marsh b Gilmour,3.0,ODI # 33,West Indies,12.0,18.0,26.0,2.0,0.0,66.66
Australia VS West Indies,Rohan Kanhai, b Gilmour,4.0,ODI # 33,West Indies,55.0,105.0,156.0,8.0,0.0,52.38
Australia VS West Indies,Clive Lloyd,c †Marsh b Gilmour,5.0,ODI # 33,West Indies,102.0,85.0,108.0,12.0,2.0,120.0
Australia VS West Indies,Viv Richards, b Gilmour,6.0,ODI # 33,West Indies,5.0,11.0,12.0,1.0,0.0,45.45
Australia VS West Indies,Keith Boyce,c GS Chappell b Thomson,7.0,ODI # 33,West Indies,34.0,37.0,43.0,3.0,0.0,91.89
Australia VS West Indies,Bernard Julien,not out ,8.0,ODI # 33,West Indies,26.0,37.0,54.0,1.0,0.0,70.27
Australia VS West Indies,Deryck Murray,c & b Gilmour,9.0,ODI # 33,West Indies,14.0,10.0,11.0,1.0,1.0,140.0
Australia VS West Indies,Vanburn Holder,not out ,10.0,ODI # 33,West Indies,6.0,2.0,1.0,1.0,0.0,300.0
Australia VS West Indies,Alan Turner,run out (Richards),1.0,ODI # 33,Australia,40.0,54.0,85.0,4.0,0.0,74.07
Australia VS West Indies,Rick McCosker,c Kallicharran b Boyce,2.0,ODI # 33,Australia,7.0,24.0,29.0,1.0,0.0,29.16
Australia VS West Indies,Ian Chappell,run out (Richards/Lloyd),3.0,ODI # 33,Australia,62.0,93.0,125.0,6.0,0.0,66.66
Australia VS West Indies,Greg Chappell,run out (Richards),4.0,ODI # 33,Australia,15.0,23.0,24.0,2.0,0.0,65.21
Australia VS West Indies,Doug Walters, b Lloyd,5.0,ODI # 33,Australia,35.0,51.0,52.0,5.0,0.0,68.62
Australia VS West Indies,Rod Marsh, b Boyce,6.0,ODI # 33,Australia,11.0,24.0,34.0,0.0,0.0,45.83
Australia VS West Indies,Ross Edwards,c Fredericks b Boyce,7.0,ODI # 33,Australia,28.0,37.0,51.0,2.0,0.0,75.67
Australia VS West Indies,Gary Gilmour,c Kanhai b Boyce,8.0,ODI # 33,Australia,14.0,11.0,16.0,2.0,0.0,127.27
Australia VS West Indies,Max Walker,run out (Holder),9.0,ODI # 33,Australia,7.0,9.0,10.0,1.0,0.0,77.77
Australia VS West Indies,Jeff Thomson,run out (†Murray),10.0,ODI # 33,Australia,21.0,21.0,32.0,2.0,0.0,100.0
Australia VS West Indies,Dennis Lillee,not out ,11.0,ODI # 33,Australia,16.0,19.0,29.0,1.0,0.0,84.21
England VS Australia,Dennis Amiss,lbw b Gilmour,1.0,ODI # 31,England,2.0,7.0,11.0,0.0,0.0,28.57
England VS Australia,Barry Wood, b Gilmour,2.0,ODI # 31,England,6.0,19.0,29.0,1.0,0.0,31.57
England VS Australia,Keith Fletcher,lbw b Gilmour,3.0,ODI # 31,England,8.0,45.0,59.0,0.0,0.0,17.77
England VS Australia,Tony Greig,c †Marsh b Gilmour,4.0,ODI # 31,England,7.0,25.0,24.0,1.0,0.0,28.0
England VS Australia,Frank Hayes,lbw b Gilmour,5.0,ODI # 31,England,4.0,6.0,9.0,1.0,0.0,66.66
England VS Australia,Mike Denness, b Walker,6.0,ODI # 31,England,27.0,60.0,70.0,1.0,0.0,45.0
England VS Australia,Alan Knott,lbw b Gilmour,7.0,ODI # 31,England,0.0,5.0,3.0,0.0,0.0,0.0
England VS Australia,Chris Old,c GS Chappell b Walker,8.0,ODI # 31,England,0.0,3.0,4.0,0.0,0.0,0.0
England VS Australia,John Snow,c †Marsh b Lillee,9.0,ODI # 31,England,2.0,14.0,22.0,0.0,0.0,14.28
England VS Australia,Geoff Arnold,not out ,10.0,ODI # 31,England,18.0,30.0,47.0,2.0,0.0,60.0
England VS Australia,Peter Lever,lbw b Walker,11.0,ODI # 31,England,5.0,13.0,15.0,0.0,0.0,38.46
England VS Australia,Alan Turner,lbw b Arnold,1.0,ODI # 31,Australia,7.0,20.0,32.0,0.0,0.0,35.0
England VS Australia,Rick McCosker, b Old,2.0,ODI # 31,Australia,15.0,50.0,65.0,0.0,0.0,30.0
England VS Australia,Ian Chappell,lbw b Snow,3.0,ODI # 31,Australia,2.0,19.0,18.0,0.0,0.0,10.52
England VS Australia,Greg Chappell,lbw b Snow,4.0,ODI # 31,Australia,4.0,9.0,8.0,1.0,0.0,44.44
England VS Australia,Doug Walters,not out ,5.0,ODI # 31,Australia,20.0,43.0,60.0,2.0,0.0,46.51
England VS Australia,Ross Edwards, b Old,6.0,ODI # 31,Australia,0.0,3.0,2.0,0.0,0.0,0.0
England VS Australia,Rod Marsh, b Old,7.0,ODI # 31,Australia,5.0,8.0,7.0,0.0,0.0,62.5
England VS Australia,Gary Gilmour,not out ,8.0,ODI # 31,Australia,28.0,28.0,44.0,5.0,0.0,100.0
New Zealand VS West Indies,Glenn Turner,c Kanhai b Roberts,1.0,ODI # 32,New Zealand,36.0,74.0,0.0,3.0,0.0,48.64
New Zealand VS West Indies,John Morrison,lbw b Julien,2.0,ODI # 32,New Zealand,5.0,26.0,0.0,0.0,0.0,19.23
New Zealand VS West Indies,Geoff Howarth,c †Murray b Roberts,3.0,ODI # 32,New Zealand,51.0,93.0,0.0,3.0,0.0,54.83
New Zealand VS West Indies,John Parker, b Lloyd,4.0,ODI # 32,New Zealand,3.0,12.0,0.0,0.0,0.0,25.0
New Zealand VS West Indies,Brian Hastings,not out ,5.0,ODI # 32,New Zealand,24.0,57.0,0.0,4.0,0.0,42.1
New Zealand VS West Indies,Ken Wadsworth,c Lloyd b Julien,6.0,ODI # 32,New Zealand,11.0,21.0,0.0,1.0,0.0,52.38
New Zealand VS West Indies,Brian McKechnie,lbw b Julien,7.0,ODI # 32,New Zealand,1.0,9.0,0.0,0.0,0.0,11.11
New Zealand VS West Indies,Dayle Hadlee,c Holder b Julien,8.0,ODI # 32,New Zealand,0.0,10.0,0.0,0.0,0.0,0.0
New Zealand VS West Indies,Lance Cairns, b Holder,9.0,ODI # 32,New Zealand,10.0,14.0,0.0,1.0,0.0,71.42
New Zealand VS West Indies,Hedley Howarth, b Holder,10.0,ODI # 32,New Zealand,0.0,1.0,0.0,0.0,0.0,0.0
New Zealand VS West Indies,Richard Collinge, b Holder,11.0,ODI # 32,New Zealand,2.0,4.0,0.0,0.0,0.0,50.0
New Zealand VS West Indies,Roy Fredericks,c Hastings b Hadlee,1.0,ODI # 32,West Indies,6.0,14.0,0.0,0.0,0.0,42.85
New Zealand VS West Indies,Gordon Greenidge,lbw b Collinge,2.0,ODI # 32,West Indies,55.0,95.0,0.0,9.0,1.0,57.89
New Zealand VS West Indies,Alvin Kallicharran,c & b Collinge,3.0,ODI # 32,West Indies,72.0,92.0,0.0,7.0,1.0,78.26
New Zealand VS West Indies,Viv Richards,lbw b Collinge,4.0,ODI # 32,West Indies,5.0,10.0,0.0,1.0,0.0,50.0
New Zealand VS West Indies,Rohan Kanhai,not out ,5.0,ODI # 32,West Indies,12.0,18.0,0.0,2.0,0.0,66.66
New Zealand VS West Indies,Clive Lloyd,c Hastings b McKechnie,6.0,ODI # 32,West Indies,3.0,8.0,0.0,0.0,0.0,37.5
New Zealand VS West Indies,Bernard Julien,not out ,7.0,ODI # 32,West Indies,4.0,5.0,0.0,1.0,0.0,80.0
England VS East Africa,Barry Wood, b Mehmood Quaraishy,1.0,ODI # 27,England,77.0,138.0,144.0,6.0,0.0,55.79
England VS East Africa,Dennis Amiss,c Nana b Zulfiqar Ali,2.0,ODI # 27,England,88.0,116.0,118.0,7.0,0.0,75.86
England VS East Africa,Frank Hayes, b Zulfiqar Ali,3.0,ODI # 27,England,52.0,50.0,50.0,6.0,2.0,104.0
England VS East Africa,Tony Greig,lbw b Zulfiqar Ali,4.0,ODI # 27,England,9.0,17.0,16.0,0.0,0.0,52.94
England VS East Africa,Alan Knott,not out ,5.0,ODI # 27,England,18.0,19.0,28.0,0.0,0.0,94.73
England VS East Africa,Chris Old, b Mehmood Quaraishy,6.0,ODI # 27,England,18.0,16.0,16.0,3.0,0.0,112.5
England VS East Africa,Mike Denness,not out ,7.0,ODI # 27,England,12.0,6.0,4.0,1.0,0.0,200.0
England VS East Africa,Frasat Ali, b Snow,1.0,ODI # 27,East Africa,0.0,17.0,18.0,0.0,0.0,0.0
England VS East Africa,Samuel Walusimbi,lbw b Snow,2.0,ODI # 27,East Africa,7.0,30.0,46.0,0.0,0.0,23.33
England VS East Africa,Yunus Badat, b Snow,3.0,ODI # 27,East Africa,0.0,3.0,1.0,0.0,0.0,0.0
England VS East Africa,Jawahir Shah,lbw b Snow,4.0,ODI # 27,East Africa,4.0,13.0,14.0,0.0,0.0,30.76
England VS East Africa,Ramesh Sethi, b Lever,5.0,ODI # 27,East Africa,30.0,102.0,103.0,3.0,0.0,29.41
England VS East Africa,Harilal Shah, b Greig,6.0,ODI # 27,East Africa,6.0,53.0,52.0,0.0,0.0,11.32
England VS East Africa,Mehmood Quaraishy,c Amiss b Greig,7.0,ODI # 27,East Africa,19.0,41.0,43.0,2.0,0.0,46.34
England VS East Africa,Zulfiqar Ali, b Lever,8.0,ODI # 27,East Africa,7.0,22.0,27.0,0.0,0.0,31.81
England VS East Africa,Hamish McLeod, b Lever,9.0,ODI # 27,East Africa,0.0,2.0,3.0,0.0,0.0,0.0
England VS East Africa,Parbhu Nana,not out ,10.0,ODI # 27,East Africa,8.0,28.0,33.0,0.0,0.0,28.57
England VS East Africa,Don Pringle, b Old,11.0,ODI # 27,East Africa,3.0,12.0,13.0,0.0,0.0,25.0
India VS New Zealand,Sunil Gavaskar,c RJ Hadlee b DR Hadlee,1.0,ODI # 28,India,12.0,14.0,15.0,2.0,0.0,85.71
India VS New Zealand,Farokh Engineer,lbw b RJ Hadlee,2.0,ODI # 28,India,24.0,36.0,15.0,3.0,0.0,66.66
India VS New Zealand,Aunshuman Gaekwad,c Hastings b RJ Hadlee,3.0,ODI # 28,India,37.0,51.0,73.0,3.0,0.0,72.54
India VS New Zealand,Gundappa Viswanath,lbw b McKechnie,4.0,ODI # 28,India,2.0,9.0,49.0,0.0,0.0,22.22
India VS New Zealand,Brijesh Patel,c †Wadsworth b HJ Howarth,5.0,ODI # 28,India,9.0,32.0,42.0,1.0,0.0,28.12
India VS New Zealand,Eknath Solkar,c †Wadsworth b HJ Howarth,6.0,ODI # 28,India,13.0,10.0,9.0,2.0,0.0,130.0
India VS New Zealand,Syed Abid Ali,c HJ Howarth b McKechnie,7.0,ODI # 28,India,70.0,98.0,107.0,5.0,1.0,71.42
India VS New Zealand,Madan Lal,c & b McKechnie,8.0,ODI # 28,India,20.0,44.0,52.0,4.0,0.0,45.45
India VS New Zealand,Mohinder Amarnath,c Morrison b DR Hadlee,9.0,ODI # 28,India,1.0,3.0,4.0,0.0,0.0,33.33
India VS New Zealand,Srinivas Venkataraghavan,not out ,10.0,ODI # 28,India,26.0,58.0,48.0,3.0,0.0,44.82
India VS New Zealand,Bishan Bedi,run out ,11.0,ODI # 28,India,6.0,10.0,8.0,0.0,0.0,60.0
India VS New Zealand,Glenn Turner,not out ,1.0,ODI # 28,New Zealand,114.0,177.0,180.0,13.0,0.0,64.4
India VS New Zealand,John Morrison,c †Engineer b Bedi,2.0,ODI # 28,New Zealand,17.0,34.0,35.0,2.0,0.0,50.0
India VS New Zealand,Geoff Howarth,run out ,3.0,ODI # 28,New Zealand,9.0,13.0,13.0,2.0,0.0,69.23
India VS New Zealand,John Parker,lbw b Abid Ali,4.0,ODI # 28,New Zealand,1.0,6.0,15.0,0.0,0.0,16.66
India VS New Zealand,Brian Hastings,c Solkar b Amarnath,5.0,ODI # 28,New Zealand,34.0,49.0,47.0,3.0,0.0,69.38
India VS New Zealand,Ken Wadsworth,lbw b Madan Lal,6.0,ODI # 28,New Zealand,22.0,38.0,28.0,3.0,0.0,57.89
India VS New Zealand,Richard Hadlee, b Abid Ali,7.0,ODI # 28,New Zealand,15.0,30.0,27.0,2.0,0.0,50.0
India VS New Zealand,Dayle Hadlee,not out ,8.0,ODI # 28,New Zealand,8.0,7.0,3.0,0.0,0.0,114.28
Australia VS West Indies,Rick McCosker,c Fredericks b Julien,1.0,ODI # 29,Australia,0.0,3.0,2.0,0.0,0.0,0.0
Australia VS West Indies,Alan Turner,lbw b Roberts,2.0,ODI # 29,Australia,7.0,18.0,39.0,0.0,0.0,38.88
Australia VS West Indies,Ian Chappell,c †Murray b Boyce,3.0,ODI # 29,Australia,25.0,63.0,87.0,0.0,0.0,39.68
Australia VS West Indies,Greg Chappell,c †Murray b Boyce,4.0,ODI # 29,Australia,15.0,33.0,45.0,0.0,0.0,45.45
Australia VS West Indies,Doug Walters,run out ,5.0,ODI # 29,Australia,7.0,18.0,22.0,0.0,0.0,38.88
Australia VS West Indies,Ross Edwards, b Richards,6.0,ODI # 29,Australia,58.0,74.0,94.0,6.0,0.0,78.37
Australia VS West Indies,Rod Marsh,not out ,7.0,ODI # 29,Australia,52.0,84.0,127.0,4.0,0.0,61.9
Australia VS West Indies,Max Walker,lbw b Holder,8.0,ODI # 29,Australia,8.0,22.0,18.0,1.0,0.0,36.36
Australia VS West Indies,Jeff Thomson,c Holder b Richards,9.0,ODI # 29,Australia,1.0,3.0,2.0,0.0,0.0,33.33
Australia VS West Indies,Dennis Lillee, b Roberts,10.0,ODI # 29,Australia,3.0,12.0,20.0,0.0,0.0,25.0
Australia VS West Indies,Ashley Mallett,c †Murray b Roberts,11.0,ODI # 29,Australia,0.0,1.0,1.0,0.0,0.0,0.0
Australia VS West Indies,Roy Fredericks,c †Marsh b Mallett,1.0,ODI # 29,West Indies,58.0,105.0,150.0,5.0,0.0,55.23
Australia VS West Indies,Gordon Greenidge,lbw b Walker,2.0,ODI # 29,West Indies,16.0,18.0,23.0,2.0,0.0,88.88
Australia VS West Indies,Alvin Kallicharran,c Mallett b Lillee,3.0,ODI # 29,West Indies,78.0,83.0,106.0,14.0,1.0,93.97
Australia VS West Indies,Viv Richards,not out ,4.0,ODI # 29,West Indies,15.0,38.0,44.0,2.0,0.0,39.47
Australia VS West Indies,Rohan Kanhai,not out ,5.0,ODI # 29,West Indies,18.0,33.0,27.0,1.0,0.0,54.54
Pakistan VS Sri Lanka,Sadiq Mohammad,c Opatha b Warnapura,1.0,ODI # 30,Pakistan,74.0,88.0,0.0,12.0,1.0,84.09
Pakistan VS Sri Lanka,Majid Khan,c Tennekoon b DS de Silva,2.0,ODI # 30,Pakistan,84.0,93.0,0.0,9.0,1.0,90.32
Pakistan VS Sri Lanka,Zaheer Abbas, b Opatha,3.0,ODI # 30,Pakistan,97.0,89.0,0.0,10.0,1.0,108.98
Pakistan VS Sri Lanka,Mushtaq Mohammad,c Heyn b Warnapura,4.0,ODI # 30,Pakistan,26.0,48.0,0.0,2.0,0.0,54.16
Pakistan VS Sri Lanka,Wasim Raja,c Opatha b Warnapura,5.0,ODI # 30,Pakistan,2.0,6.0,0.0,0.0,0.0,33.33
Pakistan VS Sri Lanka,Javed Miandad,not out ,6.0,ODI # 30,Pakistan,28.0,35.0,0.0,1.0,0.0,80.0
Pakistan VS Sri Lanka,Imran Khan, b Opatha,7.0,ODI # 30,Pakistan,0.0,2.0,0.0,0.0,0.0,0.0
Pakistan VS Sri Lanka,Pervez Mir,not out ,8.0,ODI # 30,Pakistan,4.0,7.0,0.0,0.0,0.0,57.14
Pakistan VS Sri Lanka,Ranjit Fernando,c & b Javed Miandad,1.0,ODI # 30,Sri Lanka,21.0,42.0,0.0,3.0,0.0,50.0
Pakistan VS Sri Lanka,Bandula Warnapura, b Imran Khan,2.0,ODI # 30,Sri Lanka,2.0,15.0,0.0,0.0,0.0,13.33
Pakistan VS Sri Lanka,Anura Tennekoon,lbw b Naseer Malik,3.0,ODI # 30,Sri Lanka,30.0,36.0,0.0,4.0,0.0,83.33
Pakistan VS Sri Lanka,Michael Tissera,c †Wasim Bari b Sadiq Mohammad,4.0,ODI # 30,Sri Lanka,12.0,40.0,0.0,2.0,0.0,30.0
Pakistan VS Sri Lanka,David Heyn,c Zaheer Abbas b Javed Miandad,5.0,ODI # 30,Sri Lanka,1.0,8.0,0.0,0.0,0.0,12.5
Pakistan VS Sri Lanka,Anura Ranasinghe, b Wasim Raja,6.0,ODI # 30,Sri Lanka,9.0,23.0,0.0,0.0,0.0,39.13
Pakistan VS Sri Lanka,Mevan Pieris,lbw b Pervez Mir,7.0,ODI # 30,Sri Lanka,16.0,44.0,0.0,2.0,0.0,36.36
Pakistan VS Sri Lanka,Tony Opatha,c Zaheer Abbas b Sadiq Mohammad,8.0,ODI # 30,Sri Lanka,0.0,10.0,0.0,0.0,0.0,0.0
Pakistan VS Sri Lanka,Somachandra De Silva, b Imran Khan,9.0,ODI # 30,Sri Lanka,26.0,59.0,0.0,4.0,0.0,44.06
Pakistan VS Sri Lanka,Lalith Kaluperuma,not out ,10.0,ODI # 30,Sri Lanka,13.0,27.0,0.0,1.0,0.0,48.14
Pakistan VS Sri Lanka,Ajit de Silva,c Wasim Raja b Imran Khan,11.0,ODI # 30,Sri Lanka,0.0,12.0,0.0,0.0,0.0,0.0
England VS New Zealand,Dennis Amiss, b Collinge,1.0,ODI # 23,England,16.0,18.0,0.0,3.0,0.0,88.88
England VS New Zealand,John Jameson,c †Wadsworth b Collinge,2.0,ODI # 23,England,11.0,31.0,0.0,0.0,0.0,35.48
England VS New Zealand,Keith Fletcher,run out ,3.0,ODI # 23,England,131.0,147.0,0.0,13.0,0.0,89.11
England VS New Zealand,Frank Hayes,lbw b RJ Hadlee,4.0,ODI # 23,England,34.0,80.0,0.0,5.0,0.0,42.5
England VS New Zealand,Mike Denness,c Morrison b DR Hadlee,5.0,ODI # 23,England,37.0,52.0,0.0,1.0,1.0,71.15
England VS New Zealand,Tony Greig, b DR Hadlee,6.0,ODI # 23,England,9.0,19.0,0.0,0.0,0.0,47.36
England VS New Zealand,Chris Old,not out ,7.0,ODI # 23,England,20.0,16.0,0.0,0.0,1.0,125.0
England VS New Zealand,John Morrison,c Old b Underwood,1.0,ODI # 23,New Zealand,55.0,85.0,0.0,6.0,1.0,64.7
England VS New Zealand,Glenn Turner, b Lever,2.0,ODI # 23,New Zealand,12.0,34.0,0.0,1.0,0.0,35.29
England VS New Zealand,Barry Hadlee, b Greig,3.0,ODI # 23,New Zealand,19.0,77.0,0.0,1.0,0.0,24.67
England VS New Zealand,John Parker, b Greig,4.0,ODI # 23,New Zealand,1.0,8.0,0.0,0.0,0.0,12.5
England VS New Zealand,Brian Hastings,c Underwood b Old,5.0,ODI # 23,New Zealand,10.0,26.0,0.0,1.0,0.0,38.46
England VS New Zealand,Ken Wadsworth, b Arnold,6.0,ODI # 23,New Zealand,25.0,24.0,0.0,3.0,0.0,104.16
England VS New Zealand,Richard Hadlee, b Old,7.0,ODI # 23,New Zealand,0.0,6.0,0.0,0.0,0.0,0.0
England VS New Zealand,Brian McKechnie,c Underwood b Greig,8.0,ODI # 23,New Zealand,27.0,50.0,0.0,4.0,0.0,54.0
England VS New Zealand,Dayle Hadlee,c Arnold b Greig,9.0,ODI # 23,New Zealand,20.0,42.0,0.0,2.0,0.0,47.61
England VS New Zealand,Hedley Howarth,not out ,10.0,ODI # 23,New Zealand,1.0,7.0,0.0,0.0,0.0,14.28
England VS New Zealand,Richard Collinge, b Underwood,11.0,ODI # 23,New Zealand,6.0,6.0,0.0,0.0,1.0,100.0
East Africa VS India,Frasat Ali, b Abid Ali,1.0,ODI # 24,East Africa,12.0,36.0,38.0,1.0,0.0,33.33
East Africa VS India,Samuel Walusimbi,lbw b Abid Ali,2.0,ODI # 24,East Africa,16.0,50.0,65.0,1.0,0.0,32.0
East Africa VS India,Praful Mehta,run out ,3.0,ODI # 24,East Africa,12.0,41.0,71.0,0.0,0.0,29.26
East Africa VS India,Yunus Badat, b Bedi,4.0,ODI # 24,East Africa,1.0,4.0,13.0,0.0,0.0,25.0
East Africa VS India,Jawahir Shah, b Amarnath,5.0,ODI # 24,East Africa,37.0,84.0,60.0,5.0,0.0,44.04
East Africa VS India,Harilal Shah,c †Engineer b Amarnath,6.0,ODI # 24,East Africa,0.0,2.0,1.0,0.0,0.0,0.0
East Africa VS India,Ramesh Sethi,c Gaekwad b Madan Lal,7.0,ODI # 24,East Africa,23.0,80.0,45.0,2.0,0.0,28.75
East Africa VS India,Mehmood Quaraishy,run out ,8.0,ODI # 24,East Africa,6.0,25.0,19.0,0.0,0.0,24.0
East Africa VS India,Zulfiqar Ali,not out ,9.0,ODI # 24,East Africa,2.0,5.0,8.0,0.0,0.0,40.0
East Africa VS India,Parbhu Nana,lbw b Madan Lal,10.0,ODI # 24,East Africa,0.0,2.0,1.0,0.0,0.0,0.0
East Africa VS India,Don Pringle, b Madan Lal,11.0,ODI # 24,East Africa,2.0,3.0,4.0,0.0,0.0,66.66
East Africa VS India,Sunil Gavaskar,not out ,1.0,ODI # 24,India,65.0,86.0,85.0,9.0,0.0,75.58
East Africa VS India,Farokh Engineer,not out ,2.0,ODI # 24,India,54.0,93.0,85.0,7.0,0.0,58.06
Australia VS Sri Lanka,Rick McCosker, b de Silva,1.0,ODI # 25,Australia,73.0,111.0,0.0,2.0,0.0,65.76
Australia VS Sri Lanka,Alan Turner,c Mendis b de Silva,2.0,ODI # 25,Australia,101.0,113.0,0.0,9.0,1.0,89.38
Australia VS Sri Lanka,Ian Chappell, b Kaluperuma,3.0,ODI # 25,Australia,4.0,7.0,0.0,1.0,0.0,57.14
Australia VS Sri Lanka,Greg Chappell,c Opatha b Pieris,4.0,ODI # 25,Australia,50.0,50.0,0.0,5.0,1.0,100.0
Australia VS Sri Lanka,Doug Walters,c Tennekoon b Pieris,5.0,ODI # 25,Australia,59.0,66.0,0.0,5.0,0.0,89.39
Australia VS Sri Lanka,Jeff Thomson,not out ,6.0,ODI # 25,Australia,9.0,7.0,0.0,0.0,0.0,128.57
Australia VS Sri Lanka,Rod Marsh,not out ,7.0,ODI # 25,Australia,9.0,7.0,0.0,0.0,0.0,128.57
Australia VS Sri Lanka,Sunil Wettimuny,retired hurt ,1.0,ODI # 25,Sri Lanka,53.0,102.0,0.0,7.0,0.0,51.96
Australia VS Sri Lanka,Ranjit Fernando, b Thomson,2.0,ODI # 25,Sri Lanka,22.0,18.0,0.0,4.0,0.0,122.22
Australia VS Sri Lanka,Bandula Warnapura,st †Marsh b Mallett,3.0,ODI # 25,Sri Lanka,31.0,39.0,0.0,5.0,0.0,79.48
Australia VS Sri Lanka,Duleep Mendis,retired hurt ,4.0,ODI # 25,Sri Lanka,32.0,45.0,0.0,5.0,0.0,71.11
Australia VS Sri Lanka,Anura Tennekoon, b IM Chappell,5.0,ODI # 25,Sri Lanka,48.0,71.0,0.0,6.0,0.0,67.6
Australia VS Sri Lanka,Michael Tissera,c Turner b IM Chappell,6.0,ODI # 25,Sri Lanka,52.0,72.0,0.0,7.0,0.0,72.22
Australia VS Sri Lanka,Anura Ranasinghe,not out ,7.0,ODI # 25,Sri Lanka,14.0,18.0,0.0,3.0,0.0,77.77
Australia VS Sri Lanka,Mevan Pieris,not out ,8.0,ODI # 25,Sri Lanka,0.0,3.0,0.0,0.0,0.0,0.0
Pakistan VS West Indies,Majid Khan,c †Murray b Lloyd,1.0,ODI # 26,Pakistan,60.0,108.0,141.0,6.0,0.0,55.55
Pakistan VS West Indies,Sadiq Mohammad,c Kanhai b Julien,2.0,ODI # 26,Pakistan,7.0,23.0,29.0,1.0,0.0,30.43
Pakistan VS West Indies,Zaheer Abbas,lbw b Richards,3.0,ODI # 26,Pakistan,31.0,56.0,64.0,4.0,0.0,55.35
Pakistan VS West Indies,Mushtaq Mohammad, b Boyce,4.0,ODI # 26,Pakistan,55.0,84.0,104.0,3.0,0.0,65.47
Pakistan VS West Indies,Wasim Raja, b Roberts,5.0,ODI # 26,Pakistan,58.0,57.0,82.0,6.0,0.0,101.75
Pakistan VS West Indies,Javed Miandad,run out ,6.0,ODI # 26,Pakistan,24.0,32.0,36.0,2.0,0.0,75.0
Pakistan VS West Indies,Pervez Mir,run out ,7.0,ODI # 26,Pakistan,4.0,9.0,9.0,0.0,0.0,44.44
Pakistan VS West Indies,Wasim Bari,not out ,8.0,ODI # 26,Pakistan,1.0,1.0,1.0,0.0,0.0,100.0
Pakistan VS West Indies,Sarfraz Nawaz,not out ,9.0,ODI # 26,Pakistan,0.0,0.0,1.0,0.0,0.0,0.0
Pakistan VS West Indies,Roy Fredericks,lbw b Sarfraz Nawaz,1.0,ODI # 26,West Indies,12.0,11.0,24.0,2.0,0.0,109.09
Pakistan VS West Indies,Gordon Greenidge,c †Wasim Bari b Sarfraz Nawaz,2.0,ODI # 26,West Indies,4.0,6.0,6.0,1.0,0.0,66.66
Pakistan VS West Indies,Alvin Kallicharran,c †Wasim Bari b Sarfraz Nawaz,3.0,ODI # 26,West Indies,16.0,25.0,28.0,1.0,0.0,64.0
Pakistan VS West Indies,Rohan Kanhai, b Naseer Malik,4.0,ODI # 26,West Indies,24.0,42.0,52.0,3.0,0.0,57.14
Pakistan VS West Indies,Clive Lloyd,c †Wasim Bari b Javed Miandad,5.0,ODI # 26,West Indies,53.0,58.0,105.0,8.0,0.0,91.37
Pakistan VS West Indies,Viv Richards,c Zaheer Abbas b Pervez Mir,6.0,ODI # 26,West Indies,13.0,23.0,16.0,2.0,0.0,56.52
Pakistan VS West Indies,Bernard Julien,c Javed Miandad b Asif Masood,7.0,ODI # 26,West Indies,18.0,40.0,40.0,2.0,0.0,45.0
Pakistan VS West Indies,Deryck Murray,not out ,8.0,ODI # 26,West Indies,61.0,76.0,106.0,6.0,0.0,80.26
Pakistan VS West Indies,Keith Boyce, b Naseer Malik,9.0,ODI # 26,West Indies,7.0,6.0,8.0,0.0,0.0,116.66
Pakistan VS West Indies,Vanburn Holder,c Pervez Mir b Sarfraz Nawaz,10.0,ODI # 26,West Indies,16.0,28.0,35.0,1.0,0.0,57.14
Pakistan VS West Indies,Andy Roberts,not out ,11.0,ODI # 26,West Indies,24.0,48.0,55.0,3.0,0.0,50.0
England VS India,John Jameson,c Venkataraghavan b Amarnath,1.0,ODI # 19,England,21.0,42.0,0.0,2.0,0.0,50.0
England VS India,Dennis Amiss, b Madan Lal,2.0,ODI # 19,England,137.0,147.0,0.0,18.0,0.0,93.19
England VS India,Keith Fletcher, b Abid Ali,3.0,ODI # 19,England,68.0,107.0,0.0,4.0,1.0,63.55
England VS India,Tony Greig,lbw b Abid Ali,4.0,ODI # 19,England,4.0,8.0,0.0,0.0,0.0,50.0
England VS India,Mike Denness,not out ,5.0,ODI # 19,England,37.0,31.0,0.0,2.0,1.0,119.35
England VS India,Chris Old,not out ,6.0,ODI # 19,England,51.0,30.0,0.0,4.0,2.0,170.0
England VS India,Sunil Gavaskar,not out ,1.0,ODI # 19,India,36.0,174.0,0.0,1.0,0.0,20.68
England VS India,Eknath Solkar,c Lever b Arnold,2.0,ODI # 19,India,8.0,34.0,0.0,0.0,0.0,23.52
England VS India,Aunshuman Gaekwad,c †Knott b Lever,3.0,ODI # 19,India,22.0,46.0,0.0,2.0,0.0,47.82
England VS India,Gundappa Viswanath,c Fletcher b Old,4.0,ODI # 19,India,37.0,59.0,0.0,5.0,0.0,62.71
England VS India,Brijesh Patel,not out ,5.0,ODI # 19,India,16.0,57.0,0.0,0.0,0.0,28.07
