Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Arafat Sunny,3.0,3.0,100.0,0,0,3.0,3.0,3
Aravinda de Silva,1064.0,33.25,72.82,2,8,145.0,1229.0,39
Arjuna Ranatunga,969.0,33.41,73.38,0,7,88.0,1197.0,42
Arshad Laeeq,66.0,16.5,35.17,0,0,43.0,140.0,35
Aryan Dutt,70.0,7.78,88.59,0,0,23.0,87.0,10
Asad Shafiq,154.0,51.33,71.37,0,1,78.0,217.0,73
Asanka Gurusinha,488.0,28.71,53.35,0,3,87.0,789.0,47
Asghar Afghan,226.0,20.55,69.43,0,1,54.0,272.0,25
Ashantha de Mel,66.0,9.43,43.35,0,0,27.0,101.0,15
Ashif Mulla,83.0,27.67,53.59,0,1,58.0,101.0,34
Ashish Bagai,343.0,22.87,50.68,0,2,84.0,556.0,38
Ashish Nehra,9.0,3.0,83.33,0,0,8.0,9.0,3
Ashish Patel,25.0,25.0,86.2,0,0,25.0,29.0,29
Ashley Giles,19.0,9.5,51.24,0,0,17.0,30.0,15
Ashley Mallett,0.0,0.0,0.0,0,0,0.0,1.0,1
Ashley Nurse,20.0,10.0,59.02,0,0,19.0,26.0,13
Ashwell Prince,107.0,17.83,51.77,0,0,47.0,136.0,23
Asif Ali,19.0,9.5,94.88,0,0,14.0,19.0,10
Asif Iqbal,182.0,45.5,74.2,0,3,61.0,276.0,69
Asif Masood,6.0,6.0,85.71,0,0,6.0,7.0,7
Asim Butt,23.0,5.75,65.83,0,0,11.0,28.0,7
Ata-ur-Rehman,0.0,0.0,0.0,0,0,0.0,1.0,1
Athula Samarasekera,224.0,28.0,63.58,0,1,75.0,286.0,36
Atse Buurman,26.0,13.0,43.33,0,0,26.0,32.0,16
Aunshuman Gaekwad,113.0,22.6,50.55,0,0,37.0,210.0,42
Austin Codrington,28.0,5.6,32.84,0,0,16.0,65.0,13
Avishka Fernando,203.0,50.75,106.32,1,1,104.0,192.0,48
Avishka Gunawardene,42.0,21.0,45.56,0,0,41.0,66.0,33
Azhar Mahmood,118.0,13.11,74.31,0,0,37.0,193.0,22
Azhar Saeed,58.0,11.6,28.51,0,0,32.0,175.0,35
Azmatullah Omarzai,353.0,44.12,100.35,0,3,97.0,361.0,46
