Player,Runs,Average Runs,Strike Rate,Centuries,Half Centuries,Highest Run,No. of Balls,Average Balls Faced
Graham Dilley,90.0,22.5,133.06,0,0,31.0,75.0,19
Graham Gooch,897.0,42.71,56.48,1,9,115.0,1418.0,68
Graham Thorpe,379.0,37.9,68.67,0,3,89.0,514.0,52
Graham Yallop,247.0,27.44,62.71,0,2,66.0,366.0,41
Grant Elliott,310.0,38.75,102.89,0,2,84.0,294.0,37
Grant Flower,512.0,25.6,52.24,0,1,78.0,895.0,45
Grant Paterson,123.0,12.3,31.44,0,0,27.0,327.0,33
Greg Chappell,114.0,28.5,67.56,0,1,50.0,148.0,37
Greg Dyer,50.0,12.5,85.0,0,0,27.0,43.0,11
Greg Lamb,62.0,12.4,72.94,0,0,18.0,86.0,18
Greig Williamson,11.0,5.5,25.38,0,0,10.0,35.0,18
Gulbadin Naib,194.0,19.4,77.87,0,0,47.0,244.0,25
Gundappa Viswanath,145.0,29.0,46.77,0,1,75.0,274.0,55
Gus Atkinson,37.0,12.33,122.22,0,0,35.0,23.0,8
Gus Logie,282.0,21.69,76.27,0,2,65.0,307.0,24
Guy Whittall,246.0,13.67,45.37,0,0,35.0,497.0,28
Guy de Alwis,167.0,27.83,99.7,0,2,59.0,159.0,27
Habibul Bashar,105.0,10.5,32.07,0,0,32.0,238.0,24
Hamid Hassan,53.0,4.82,38.23,0,0,16.0,110.0,10
Hamilton Masakadza,122.0,20.33,53.16,0,1,80.0,161.0,27
Hamish Bennett,0.0,0.0,0.0,0,0,0.0,4.0,2
Hamish Gardiner,24.0,8.0,28.12,0,0,19.0,53.0,18
Hamish Marshall,81.0,27.0,78.0,0,1,50.0,98.0,33
Hamish McLeod,5.0,2.5,31.25,0,0,5.0,10.0,5
Hannan Sarkar,34.0,11.33,36.31,0,0,25.0,60.0,20
Hansie Cronje,476.0,23.8,70.62,0,2,78.0,591.0,30
Harbhajan Singh,93.0,7.75,65.49,0,0,28.0,113.0,10
Hardik Pandya,237.0,23.7,122.82,0,0,48.0,209.0,21
Harilal Shah,6.0,2.0,3.77,0,0,6.0,56.0,19
Haris Rauf,53.0,10.6,59.96,0,0,35.0,45.0,9
Haris Sohail,375.0,34.09,72.35,0,3,89.0,454.0,42
Haroon Rasheed,69.0,17.25,52.47,0,0,37.0,135.0,34
Harry Brook,169.0,28.17,118.5,0,1,66.0,150.0,25
Harvir Baidwan,54.0,10.8,71.4,0,0,17.0,79.0,16
Hasan Ali,63.0,10.5,100.25,0,0,32.0,52.0,9
Hasan Mahmud,15.0,15.0,60.0,0,0,15.0,25.0,25
Hashan Tillakaratne,386.0,20.32,47.62,0,2,81.0,705.0,38
Hashim Amla,842.0,38.27,82.85,2,7,159.0,1012.0,46
Hashmatullah Shahidi,507.0,29.82,52.75,0,5,80.0,773.0,46
Hasibul Hossain,23.0,7.67,41.27,0,0,16.0,49.0,17
Hazratullah Zazai,96.0,19.2,75.75,0,0,34.0,102.0,21
Heath Streak,328.0,18.22,70.01,0,1,72.0,447.0,25
Hedley Howarth,1.0,0.5,7.14,0,0,1.0,8.0,4
Heinrich Klaasen,373.0,37.3,123.2,1,2,109.0,280.0,28
Henk-Jan Mol,38.0,12.67,39.44,0,0,23.0,94.0,32
Henry Nicholls,91.0,22.75,41.58,0,1,55.0,149.0,38
Henry Olonga,16.0,2.67,41.57,0,0,5.0,61.0,11
Henry Osinde,7.0,1.17,26.11,0,0,4.0,19.0,4
Herschelle Gibbs,1067.0,46.39,82.15,2,10,143.0,1221.0,54
Hiral Patel,85.0,42.5,104.28,0,1,54.0,80.0,40
Hiren Varaiya,5.0,2.5,31.7,0,0,4.0,23.0,12
Hitesh Modi,195.0,13.93,37.91,0,0,41.0,485.0,35
Iain Butchart,240.0,17.14,56.09,0,1,54.0,361.0,26
Iain Wardlaw,1.0,0.25,12.5,0,0,1.0,5.0,2
Ian Bell,718.0,34.19,64.54,0,6,81.0,995.0,48
Ian Billcliff,251.0,27.89,51.12,0,2,71.0,413.0,46
Ian Bishop,35.0,8.75,55.92,0,0,17.0,95.0,24
Ian Blackwell,38.0,19.0,142.1,0,0,22.0,30.0,15
Ian Botham,297.0,16.5,64.63,0,1,53.0,476.0,27
Ian Bradshaw,26.0,13.0,39.86,0,0,20.0,62.0,31
Ian Chappell,59.0,14.75,50.17,0,0,28.0,119.0,30
Ian Gould,66.0,16.5,67.21,0,0,35.0,102.0,26
Ian Harvey,66.0,13.2,89.25,0,0,28.0,86.0,18
Ian Healy,110.0,10.0,81.2,0,0,31.0,124.0,12
Ian Philip,20.0,6.67,14.46,0,0,17.0,89.0,30
Ian Smith,138.0,10.62,135.9,0,0,29.0,104.0,8
Ian Stanger,47.0,11.75,28.38,0,0,27.0,144.0,36
Ibrahim Zadran,376.0,41.78,73.63,1,2,129.0,493.0,55
Iftikhar Ahmed,142.0,17.75,115.13,0,0,40.0,123.0,16
Iftikhar Anjum,51.0,17.0,93.24,0,0,32.0,77.0,26
Ijaz Ahmed,516.0,19.85,74.35,0,4,70.0,717.0,28
Ijaz Faqih,61.0,12.2,41.23,0,0,42.0,112.0,23
Ikram Alikhil,231.0,23.1,62.09,0,2,86.0,347.0,35
Imad Wasim,162.0,32.4,112.14,0,0,49.0,137.0,28
Imam-ul-Haq,467.0,33.36,73.69,1,3,100.0,580.0,42
Imran Khan,666.0,27.75,69.96,1,5,102.0,1014.0,43
Imran Nazir,190.0,63.33,126.43,1,1,160.0,175.0,59
Imran Tahir,20.0,2.5,39.17,0,0,10.0,34.0,5
Imrul Kayes,197.0,21.89,64.14,0,2,73.0,312.0,35
Imtiaz Abbasi,4.0,1.0,16.9,0,0,2.0,22.0,6
Inzamam-ul-Haq,717.0,21.73,66.18,0,4,81.0,961.0,30
Iqbal Sikander,1.0,1.0,33.33,0,0,1.0,3.0,3
Irving Romaine,11.0,3.67,17.46,0,0,11.0,32.0,11
Ish Sodhi,5.0,5.0,125.0,0,0,5.0,4.0,4
Ishan Kishan,47.0,23.5,50.0,0,0,47.0,48.0,24
Ishwar Maraj,98.0,16.33,27.74,0,1,53.0,264.0,44
Isuru Udana,45.0,6.43,71.53,0,0,17.0,75.0,11
Jack Heron,50.0,8.33,29.37,0,0,18.0,163.0,28
Jack Russell,27.0,6.75,42.45,0,0,12.0,65.0,17
Jacob Oram,259.0,18.5,79.52,0,1,63.0,360.0,26
Jacob-Jan Esmeijer,3.0,1.0,7.69,0,0,3.0,19.0,7
Jacques Kallis,1148.0,35.88,65.62,1,10,128.0,1543.0,49
James Anderson,15.0,1.5,22.11,0,0,8.0,42.0,5
James Brinkley,52.0,10.4,34.5,0,0,23.0,118.0,24
James Faulkner,44.0,11.0,139.58,0,0,21.0,25.0,7
James Franklin,147.0,16.33,99.91,0,0,34.0,138.0,16
James Neesham,290.0,29.0,75.44,0,2,97.0,341.0,35
James Ngoche,10.0,5.0,38.09,0,0,9.0,24.0,12
James Taylor,149.0,24.83,55.9,0,1,98.0,168.0,28
James Tredwell,9.0,9.0,45.0,0,0,9.0,20.0,20
James Vince,40.0,13.33,53.88,0,0,26.0,51.0,17
Jamie Dalrymple,6.0,2.0,30.55,0,0,3.0,22.0,8
Jamie How,26.0,13.0,30.29,0,0,22.0,76.0,38
Jan-Berrie Burger,199.0,33.17,102.55,0,1,85.0,198.0,33
Janeiro Tucker,13.0,4.33,56.35,0,0,9.0,33.0,11
Jason Behrendorff,12.0,4.0,69.44,0,0,11.0,11.0,4
Jason Gillespie,6.0,6.0,150.0,0,0,6.0,4.0,4
Jason Holder,325.0,29.55,95.02,0,3,57.0,294.0,27
Jason Krejza,7.0,7.0,36.84,0,0,7.0,19.0,19
Jason Roy,443.0,63.29,110.36,1,5,153.0,384.0,55
Jasprit Bumrah,19.0,3.17,49.55,0,0,16.0,30.0,5
Javagal Srinath,85.0,4.72,77.22,0,0,18.0,80.0,5
Javed Ahmadi,97.0,16.17,61.57,0,1,51.0,122.0,21
Javed Miandad,1083.0,36.1,64.5,1,9,103.0,1592.0,54
Javed Omer,55.0,18.33,39.08,0,0,22.0,141.0,47
Jawahir Shah,46.0,15.33,34.74,0,0,37.0,114.0,38
Jean-Paul Duminy,458.0,28.62,94.88,1,2,115.0,461.0,29
Jeetan Patel,34.0,17.0,44.73,0,0,34.0,39.0,20
Jeevan Mendis,32.0,6.4,43.41,0,0,18.0,72.0,15
Jeff Crowe,220.0,27.5,73.48,0,1,88.0,285.0,36
Jeff Dujon,112.0,12.44,51.9,0,0,46.0,239.0,27
Jeff Moss,7.0,7.0,43.75,0,0,7.0,16.0,16
Jeff Thomson,30.0,7.5,76.19,0,0,20.0,29.0,8
Jehan Mubarak,0.0,0.0,0.0,0,0,0.0,2.0,2
Jeremy Bray,212.0,23.56,38.58,1,1,115.0,338.0,38
Jeremy Coney,244.0,30.5,48.41,0,2,66.0,445.0,56
Jeroen Smits,61.0,10.17,35.86,0,0,26.0,150.0,25
Jerome Taylor,74.0,10.57,86.58,0,0,15.0,89.0,13
Jesse Ryder,184.0,36.8,71.11,0,1,83.0,265.0,53
Jimmy Adams,120.0,15.0,40.29,0,1,53.0,244.0,31
Jimmy Hansra,215.0,35.83,56.14,0,2,70.0,373.0,63
Jimmy Kamande,56.0,8.0,41.59,0,0,22.0,123.0,18
Jimmy Maher,35.0,17.5,55.38,0,0,26.0,60.0,30
Jitendra Patel,3.0,1.0,19.05,0,0,2.0,23.0,8
Joe Harris,91.0,15.17,44.69,0,0,31.0,204.0,34
Joe Root,1034.0,41.36,73.12,3,9,121.0,1173.0,47
Joel Garner,52.0,10.4,57.98,0,0,37.0,79.0,16
Jofra Archer,13.0,1.86,62.23,0,0,7.0,22.0,4
Johan Botha,58.0,14.5,112.08,0,0,23.0,59.0,15
Johanne Samarasekera,90.0,22.5,58.2,0,0,47.0,132.0,33
John Blain,56.0,7.0,30.42,0,0,23.0,113.0,15
John Bracewell,80.0,11.43,82.99,0,0,34.0,95.0,14
John Davison,340.0,24.29,96.64,1,3,111.0,308.0,22
John Emburey,96.0,13.71,100.62,0,0,30.0,88.0,13
John Jameson,32.0,16.0,42.74,0,0,21.0,73.0,37
John Mooney,132.0,10.15,71.34,0,0,33.0,200.0,16
John Morrison,102.0,20.4,39.72,0,1,55.0,223.0,45
John Parker,71.0,17.75,37.8,0,1,66.0,94.0,24
John Snow,2.0,2.0,14.28,0,0,2.0,14.0,14
John Traicos,70.0,5.83,51.26,0,0,19.0,136.0,12
John Valentine,3.0,1.5,13.63,0,0,3.0,17.0,9
John Vaughan,30.0,10.0,25.81,0,0,29.0,55.0,19
John Wright,493.0,27.39,49.34,0,3,69.0,862.0,48
Johnson Charles,58.0,29.0,93.75,0,1,55.0,46.0,23
Jonathan Carter,113.0,28.25,66.77,0,1,50.0,160.0,40
Jonathan Trott,422.0,60.29,85.86,0,5,92.0,522.0,75
Jonny Bairstow,747.0,37.35,73.75,2,6,111.0,816.0,41
Jonty Rhodes,354.0,17.7,81.97,0,0,43.0,403.0,21
Jos Buttler,591.0,25.7,118.18,1,4,103.0,500.0,22
Joseph Angara,6.0,3.0,60.0,0,0,6.0,7.0,4
Josh Davey,55.0,9.17,65.62,0,0,26.0,88.0,15
Josh Hazlewood,4.0,0.8,60.0,0,0,2.0,5.0,1
Josh Inglis,159.0,19.88,90.91,0,1,58.0,168.0,21
Justin Kemp,74.0,14.8,59.46,0,0,49.0,149.0,30
KL Rahul,813.0,42.79,94.37,2,6,111.0,964.0,51
Kagiso Rabada,83.0,10.38,73.77,0,0,31.0,115.0,15
Kamran Akmal,249.0,24.9,62.33,0,1,55.0,352.0,36
Kamran Shazad,0.0,0.0,0.0,0,0,0.0,3.0,3
Kane Richardson,1.0,1.0,100.0,0,0,1.0,1.0,1
Kane Williamson,1167.0,44.88,79.58,2,8,148.0,1437.0,56
Kapil Dev,669.0,27.88,98.98,1,2,175.0,581.0,25
Karl Whatham,18.0,18.0,43.9,0,0,18.0,41.0,41
Karsan Ghavri,35.0,11.67,58.18,0,0,20.0,56.0,19
Kasun Rajitha,52.0,13.0,65.06,0,0,33.0,57.0,15
Kedar Jadhav,80.0,16.0,70.25,0,1,52.0,99.0,20
Keith Arthurton,241.0,18.54,44.02,0,2,58.0,386.0,30
Keith Boyce,7.0,7.0,116.66,0,0,7.0,6.0,6
Keith Fletcher,207.0,69.0,56.81,1,2,131.0,299.0,100
Kemar Roach,47.0,6.71,33.19,0,0,16.0,106.0,16
Ken MacLeay,19.0,4.75,68.96,0,0,9.0,28.0,7
Ken Rutherford,416.0,34.67,65.33,0,4,75.0,587.0,49
Ken Wadsworth,68.0,17.0,89.32,0,0,25.0,90.0,23
Kennedy Otieno,427.0,22.47,35.61,0,4,85.0,818.0,44
Kenny Carroll,0.0,0.0,0.0,0,0,0.0,2.0,2
Kepler Wessels,405.0,33.75,54.03,0,4,85.0,751.0,63
Keshav Maharaj,59.0,9.83,59.18,0,0,40.0,80.0,14
Kevin Arnott,206.0,25.75,45.14,0,3,60.0,416.0,52
Kevin Curran,287.0,26.09,59.65,0,2,73.0,430.0,40
Kevin Duers,7.0,3.5,35.0,0,0,5.0,20.0,10
Kevin Hurdle,6.0,2.0,66.67,0,0,6.0,11.0,4
Kevin O'Brien,499.0,24.95,81.2,1,2,113.0,552.0,28
Kevin Pietersen,575.0,44.23,83.63,2,6,104.0,684.0,53
Kevin Sandher,2.0,2.0,33.33,0,0,2.0,6.0,6
Kevin Wright,29.0,14.5,51.08,0,0,23.0,52.0,26
Khaled Mahmud,87.0,10.88,48.8,0,0,27.0,150.0,19
Khaled Mashud,139.0,13.9,38.98,0,0,35.0,330.0,33
Khurram Chohan,39.0,9.75,62.22,0,0,22.0,66.0,17
Khurram Khan,155.0,25.83,74.99,0,0,45.0,212.0,36
Kieron Pollard,190.0,27.14,84.06,0,2,94.0,137.0,20
Kim Hughes,218.0,27.25,54.42,0,2,69.0,379.0,48
Kiran More,100.0,10.0,98.47,0,0,42.0,86.0,9
Kirk Edwards,17.0,17.0,100.0,0,0,17.0,17.0,17
Kirti Azad,15.0,7.5,41.66,0,0,15.0,21.0,11
Klaas-Jan van Noortwijk,322.0,35.78,68.79,1,2,134.0,428.0,48
Kris Srikkanth,521.0,22.65,56.23,0,2,75.0,762.0,34
Krishna Chandran,38.0,7.6,13.75,0,0,34.0,111.0,23
Kuldeep Yadav,20.0,5.0,56.2,0,0,10.0,33.0,9
Kumar Dharmasena,9.0,9.0,45.0,0,0,9.0,20.0,20
Kumar Sangakkara,1532.0,43.77,83.42,5,12,124.0,1770.0,51
Kusal Mendis,437.0,27.31,75.88,1,2,122.0,471.0,30
Kusal Perera,449.0,28.06,93.64,0,5,78.0,416.0,26
Kyle Abbott,12.0,12.0,63.15,0,0,12.0,19.0,19
Kyle Coetzer,253.0,42.17,45.32,1,2,156.0,282.0,47
Kyle McCallan,33.0,4.12,30.55,0,0,20.0,75.0,10
Kyle Mills,7.0,7.0,233.33,0,0,7.0,3.0,3
Lahiru Kumara,4.0,4.0,50.0,0,0,4.0,8.0,8
Lahiru Thirimanne,445.0,37.08,78.83,1,4,139.0,519.0,44
Lalith Kaluperuma,19.0,9.5,39.86,0,0,13.0,46.0,23
Lameck Onyango,39.0,13.0,72.87,0,0,23.0,53.0,18
Lance Cairns,43.0,4.78,74.86,0,0,14.0,51.0,6
Lance Klusener,372.0,33.82,133.72,0,3,57.0,307.0,28
Larry Gomes,258.0,36.86,60.18,0,3,78.0,461.0,66
Lasith Malinga,33.0,2.54,57.47,0,0,10.0,59.0,5
Lee Germon,191.0,31.83,88.9,0,1,89.0,225.0,38
Lendl Simmons,187.0,31.17,65.91,1,2,102.0,197.0,33
Liam Livingstone,60.0,10.0,46.28,0,0,27.0,94.0,16
Liam Plunkett,93.0,13.29,121.71,0,0,29.0,78.0,12
Lionel Cann,44.0,14.67,118.05,0,0,28.0,40.0,14
Litton Das,468.0,33.43,79.81,0,3,94.0,521.0,38
Lockie Ferguson,11.0,2.2,70.67,0,0,6.0,15.0,3
Logan van Beek,140.0,17.5,72.69,0,1,59.0,179.0,23
Lonwabo Tsotsobe,4.0,4.0,200.0,0,0,4.0,2.0,2
Lou Vincent,118.0,19.67,38.02,1,1,101.0,162.0,27
Louis Burger,11.0,1.83,17.07,0,0,5.0,62.0,11
Luke Ronchi,73.0,10.43,106.09,0,0,29.0,62.0,9
Luke Woodcock,3.0,3.0,100.0,0,0,3.0,3.0,3
Luke Wright,45.0,22.5,55.26,0,0,44.0,60.0,30
Lungi Ngidi,18.0,3.6,38.88,0,0,7.0,52.0,11
Luuk van Troost,101.0,12.62,65.77,0,0,26.0,149.0,19
MS Dhoni,780.0,31.2,86.81,0,5,91.0,867.0,35
Madan Lal,122.0,17.43,64.29,0,0,27.0,201.0,29
Mahedi Hasan,33.0,11.0,51.71,0,0,17.0,73.0,25
Maheesh Theekshana,100.0,16.67,42.53,0,0,38.0,185.0,31
Mahela Jayawardene,1100.0,32.35,67.95,4,9,115.0,1280.0,38
Mahmudullah,944.0,42.91,82.87,3,6,128.0,1113.0,51
Majid Haq,82.0,11.71,44.1,0,0,31.0,150.0,22
Majid Khan,359.0,51.29,60.86,0,5,84.0,524.0,75
Makhaya Ntini,29.0,5.8,78.71,0,0,14.0,28.0,6
Malachi Jones,1.0,1.0,12.5,0,0,1.0,8.0,8
Malcolm Jarvis,37.0,7.4,85.76,0,0,17.0,67.0,14
Malcolm Marshall,40.0,5.71,40.81,0,0,18.0,105.0,15
Malinga Bandara,17.0,17.0,89.47,0,0,17.0,19.0,19
Maninder Singh,4.0,2.0,40.0,0,0,4.0,5.0,3
Manjula Guruge,14.0,4.67,34.17,0,0,10.0,26.0,9
Manjurul Islam,13.0,1.86,28.84,0,0,6.0,35.0,5
Manoj Prabhakar,45.0,4.09,59.31,0,0,11.0,132.0,12
Mansoor Akhtar,108.0,13.5,39.78,0,0,33.0,247.0,31
Manzoor Elahi,4.0,4.0,66.66,0,0,4.0,6.0,6
Marcel Schewe,49.0,12.25,81.37,0,0,20.0,68.0,17
Marco Jansen,157.0,19.62,99.21,0,1,75.0,142.0,18
Marcus Stoinis,174.0,14.5,86.96,0,0,35.0,190.0,16
Marcus Trescothick,116.0,23.2,64.04,0,1,58.0,150.0,30
Mark Boucher,381.0,20.05,72.27,0,2,75.0,405.0,22
Mark Burgess,45.0,22.5,74.17,0,0,35.0,62.0,31
Mark Burmester,17.0,5.67,64.44,0,0,12.0,37.0,13
Mark Chapman,84.0,14.0,103.81,0,0,39.0,71.0,12
Mark Ealham,5.0,2.5,14.71,0,0,5.0,20.0,10
Mark Gillespie,2.0,2.0,25.0,0,0,2.0,8.0,8
Mark Greatbatch,313.0,44.71,88.32,0,3,73.0,356.0,51
Mark Jonkman,0.0,0.0,0.0,0,0,0.0,2.0,2
Mark Rushmere,49.0,16.33,45.37,0,0,35.0,103.0,35
Mark Taylor,206.0,22.89,45.27,0,2,74.0,330.0,37
Mark Vermeulen,66.0,22.0,34.21,0,0,39.0,133.0,45
Mark Waugh,1004.0,45.64,71.35,4,8,130.0,1199.0,55
Mark Wood,96.0,8.73,77.05,0,0,43.0,77.0,7
Marlon Samuels,460.0,28.75,70.22,1,3,133.0,600.0,38
Marnus Labuschagne,362.0,36.2,70.88,0,3,71.0,512.0,52
Martin Crowe,880.0,41.9,73.58,1,9,100.0,1053.0,51
Martin Guptill,995.0,36.85,75.68,2,6,237.0,1126.0,42
Martin Snedden,218.0,27.25,65.44,0,1,64.0,346.0,44
Martin Stead,10.0,5.0,15.15,0,0,10.0,45.0,23
Martin Suji,68.0,5.23,53.12,0,0,15.0,124.0,10
Marvan Atapattu,521.0,34.73,67.27,2,5,124.0,657.0,44
Mashrafe Mortaza,199.0,11.06,83.93,0,0,37.0,243.0,14
Matheesha Pathirana,6.0,3.0,32.29,0,0,5.0,19.0,10
Matt Henry,37.0,3.7,74.13,0,0,10.0,54.0,6
Matt Horne,199.0,24.88,51.8,0,1,74.0,354.0,45
Matt Machan,186.0,31.0,83.1,0,1,56.0,230.0,39
Matt Prior,78.0,13.0,85.57,0,0,22.0,92.0,16
Matthew Cross,88.0,14.67,77.53,0,0,23.0,120.0,20
Matthew Hart,0.0,0.0,0.0,0,0,0.0,2.0,2
Matthew Hayden,987.0,47.0,85.96,3,5,158.0,1062.0,51
Maurice Odumbe,452.0,25.11,71.05,0,3,82.0,618.0,35
Max O'Dowd,138.0,15.33,57.01,0,0,42.0,200.0,23
Max Sorensen,22.0,22.0,115.78,0,0,22.0,19.0,19
Max Walker,26.0,13.0,50.32,0,0,18.0,50.0,25
Mazhar Hussain,99.0,19.8,58.32,0,0,33.0,189.0,38
Mehidy Hasan Miraz,238.0,17.0,93.65,0,1,57.0,286.0,21
Mehmood Quaraishy,41.0,13.67,29.51,0,0,19.0,154.0,52
Mehrab Hossain,120.0,24.0,38.41,0,1,64.0,270.0,54
Melt van Schoor,58.0,11.6,62.51,0,0,24.0,111.0,23
Merv Hughes,0.0,0.0,0.0,0,0,0.0,4.0,4
Mervyn Dillon,28.0,5.6,76.64,0,0,10.0,51.0,11
Mevan Pieris,19.0,6.33,20.45,0,0,16.0,59.0,20
Meyrick Pringle,5.0,5.0,83.33,0,0,5.0,6.0,6
Michael Bevan,537.0,29.83,70.24,0,5,74.0,834.0,47
Michael Clarke,888.0,42.29,89.74,0,8,93.0,943.0,45
Michael Holding,36.0,7.2,58.31,0,0,20.0,59.0,12
Michael Hussey,156.0,17.33,78.23,0,1,54.0,190.0,22
Michael Leask,25.0,12.5,118.83,0,0,23.0,18.0,9
Michael Mason,0.0,0.0,0.0,0,0,0.0,5.0,5
Michael Tissera,78.0,26.0,47.41,0,1,52.0,147.0,49
Michael Vaughan,348.0,24.86,58.27,0,3,79.0,490.0,35
Michael Yardy,19.0,6.33,65.88,0,0,13.0,33.0,11
Mike Allingham,11.0,3.67,10.89,0,0,6.0,96.0,32
Mike Atherton,119.0,19.83,56.22,0,1,66.0,175.0,30
Mike Brearley,161.0,32.2,25.05,0,2,64.0,404.0,81
Mike Denness,113.0,28.25,108.88,0,0,37.0,149.0,38
Mike Gatting,437.0,33.62,82.7,0,3,60.0,502.0,39
Mike Hendrick,1.0,0.5,50.0,0,0,1.0,6.0,3
Mike Smith,19.0,3.8,31.96,0,0,13.0,85.0,17
Mike Veletta,136.0,34.0,87.85,0,0,48.0,121.0,31
Mike Whitney,22.0,7.33,48.39,0,0,9.0,51.0,17
Milinda Siriwardana,3.0,3.0,75.0,0,0,3.0,4.0,4
Minhajul Abedin,140.0,35.0,59.29,0,2,68.0,249.0,63
Mirwais Ashraf,38.0,19.0,77.08,0,0,28.0,47.0,24
Misbah-ul-Haq,598.0,46.0,66.18,0,7,83.0,802.0,62
Mitchell Johnson,56.0,7.0,114.88,0,0,27.0,39.0,5
Mitchell Marsh,472.0,36.31,80.57,2,3,177.0,441.0,34
Mitchell Santner,175.0,11.67,108.03,0,0,36.0,180.0,12
Mitchell Star,155.0,8.16,55.33,0,0,29.0,230.0,13
Moeen Ali,362.0,22.62,98.01,1,1,128.0,376.0,24
Mohammad Amir,11.0,3.67,61.11,0,0,8.0,14.0,5
Mohammad Ashraful,299.0,18.69,60.09,0,2,87.0,400.0,25
Mohammad Aslam,38.0,9.5,73.2,0,0,23.0,73.0,19
Mohammad Azharuddin,826.0,33.04,71.96,0,8,93.0,1066.0,43
Mohammad Hafeez,483.0,26.83,80.37,0,2,84.0,584.0,33
Mohammad Irfan,4.0,1.33,23.84,0,0,2.0,19.0,7
Mohammad Ishaq,71.0,23.67,80.53,0,1,51.0,84.0,28
Mohammad Kaif,182.0,18.2,54.02,0,1,68.0,316.0,32
Mohammad Mithun,47.0,15.67,59.59,0,0,26.0,56.0,19
Mohammad Nabi,252.0,12.0,62.16,0,1,52.0,358.0,18
Mohammad Naveed,73.0,12.17,101.34,0,0,23.0,59.0,10
Mohammad Nawaz,81.0,20.25,76.69,0,0,39.0,97.0,25
Mohammad Rafique,113.0,8.69,38.85,0,0,41.0,191.0,15
Mohammad Rizwan,395.0,49.38,96.77,1,2,131.0,414.0,52
Mohammad Saifuddin,87.0,17.4,84.56,0,1,51.0,72.0,15
Mohammad Sami,17.0,8.5,42.64,0,0,12.0,44.0,22
Mohammad Shahzad,7.0,3.5,29.16,0,0,7.0,15.0,8
Mohammad Sheikh,15.0,7.5,73.71,0,0,8.0,32.0,16
Mohammad Tauqir,8.0,1.6,29.85,0,0,3.0,43.0,9
Mohammad Wasim,23.0,11.5,96.03,0,0,16.0,23.0,12
Mohammad Yousuf,386.0,29.69,67.55,0,2,81.0,549.0,43
Mohammed Shami,20.0,2.0,61.0,0,0,6.0,35.0,4
Mohammed Siraj,9.0,9.0,112.5,0,0,9.0,8.0,8
Mohinder Amarnath,254.0,21.17,40.48,0,1,80.0,545.0,46
Mohit Sharma,0.0,0.0,0.0,0,0,0.0,1.0,1
Mohsin Khan,223.0,31.86,31.93,0,2,82.0,505.0,73
Moin Khan,286.0,20.43,106.43,0,1,63.0,269.0,20
Mominul Haque,4.0,2.0,66.66,0,0,3.0,6.0,3
Monde Zondeki,1.0,1.0,100.0,0,0,1.0,1.0,1
Monty Panesar,3.0,1.5,28.57,0,0,2.0,30.0,15
Morne Karg,45.0,22.5,54.48,0,0,41.0,65.0,33
Morne Morkel,12.0,3.0,41.49,0,0,6.0,33.0,9
Morne van Wyk,65.0,13.0,67.51,0,0,42.0,88.0,18
Morris Ouma,97.0,12.12,27.25,0,1,58.0,220.0,28
Mosaddek Hossain,117.0,19.5,101.23,0,0,35.0,110.0,19
Mudassar Bukhari,68.0,11.33,79.58,0,0,24.0,90.0,15
Mudassar Nazar,149.0,14.9,40.29,0,0,40.0,361.0,37
Mujeeb Ur Rahman,79.0,7.18,94.44,0,0,28.0,69.0,7
Munaf Patel,26.0,4.33,34.8,0,0,15.0,35.0,6
Murray Goodwin,201.0,25.12,57.98,0,1,57.0,315.0,40
Mushfiqur Rahim,1079.0,29.16,67.38,1,9,102.0,1359.0,37
Mushtaq Ahmed,27.0,5.4,53.09,0,0,17.0,58.0,12
Mushtaq Mohammad,89.0,29.67,48.21,0,1,55.0,164.0,55
Mustafizur Rahman,43.0,4.3,27.33,0,0,20.0,96.0,10
Muthiah Muralidaran,69.0,5.31,98.73,0,0,16.0,71.0,6
Naeem Islam,40.0,8.0,33.26,0,0,29.0,75.0,15
Naimur Rahman,114.0,22.8,52.97,0,0,45.0,206.0,42
Najibullah Zadran,360.0,22.5,81.11,0,2,56.0,436.0,28
Najmul Hossain Shanto,222.0,24.67,61.89,0,2,90.0,289.0,33
Naseer Malik,0.0,0.0,0.0,0,0,0.0,13.0,13
Nasir Aziz,60.0,60.0,69.76,0,1,60.0,86.0,86
Nasir Hossain,46.0,23.0,130.04,0,0,35.0,41.0,21
Nasir Jamal,17.0,17.0,32.69,0,0,17.0,52.0,52
Nasir Jamshed,5.0,1.67,14.81,0,0,4.0,23.0,8
Nasser Hussain,218.0,27.25,51.48,0,2,88.0,372.0,47
Nasum Ahmed,40.0,13.33,80.47,0,0,19.0,48.0,16
Nathan Astle,403.0,18.32,50.95,2,3,102.0,572.0,26
Nathan Coulter-Nile,98.0,32.67,88.14,0,1,92.0,72.0,24
Nathan Lyon,8.0,2.67,61.11,0,0,5.0,10.0,4
Nathan McCullum,100.0,16.67,92.14,0,1,52.0,130.0,22
Navdeep Poonia,1.0,0.5,12.5,0,0,1.0,6.0,3
Naved-ul-Hasan,11.0,11.0,37.93,0,0,11.0,29.0,29
Naveen-ul-Haq,16.0,3.2,49.17,0,0,9.0,25.0,5
Navjot Sidhu,454.0,45.4,63.24,0,6,93.0,576.0,58
Nawroz Mangal,108.0,18.0,50.3,0,0,33.0,209.0,35
Nayan Mongia,115.0,9.58,89.95,0,0,28.0,142.0,12
