Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
Bhuvneshwar Kumar,11,28.0,4.78,30.57,0,48.57,56.4
Bill Athey,0,0.0,10.0,0.0,0,6.0,1.0
Billy Stelling,4,23.5,3.44,32.0,0,48.0,16.0
Bishan Bedi,2,6.8,2.46,28.8,0,72.0,60.0
Bjorn Kotze,3,17.5,6.64,18.0,0,51.6,43.0
Bob Willis,18,19.61,2.57,44.07,0,64.45,117.7
Boyd Rankin,15,24.04,5.79,24.8,0,45.73,114.2
Brad Hodge,1,17.0,2.83,36.0,0,36.0,6.0
Brad Hogg,34,17.67,4.12,27.27,0,47.55,157.5
Bradley Kruger,0,0.0,6.57,0.0,0,21.0,3.3
Brendan Taylor,0,0.0,7.66,0.0,0,18.0,3.0
Brendon Julian,0,0.0,4.77,0.0,0,51.0,17.0
Brett Lee,35,22.06,4.54,28.88,1,48.53,136.9
Brian McKechnie,13,17.33,3.43,27.46,0,67.38,89.5
Brian McMillan,17,12.88,3.69,19.8,0,46.4,116.0
Brian Murphy,5,25.67,5.18,33.5,0,45.0,30.0
Bruce Reid,9,14.82,4.25,23.14,0,52.57,122.0
Bryan Strang,3,11.33,4.49,20.0,0,36.0,18.0
Burton van Rooi,1,8.0,5.79,12.0,0,40.0,20.0
Cameron Cuffy,1,31.0,3.87,48.0,0,48.0,8.0
Cameron Green,0,0.0,5.5,0.0,0,12.0,2.0
Carl Bulfin,0,0.0,5.16,0.0,0,36.0,6.0
Carl Hooper,18,21.76,4.49,30.82,0,54.35,154.0
Carlos Brathwaite,9,9.58,7.49,7.36,0,37.71,44.0
Chamara Silva,0,0.0,4.0,0.0,0,18.0,3.0
Chamika Karunaratne,0,0.0,5.72,0.0,0,36.0,12.0
Chaminda Vaas,49,17.45,3.93,27.18,1,50.65,261.0
Champaka Ramanayake,5,12.06,3.89,23.25,0,48.5,64.4
Chamu Chibhabha,0,0.0,11.0,0.0,0,6.0,1.0
Chandika Hathurusinghe,5,27.12,5.78,33.0,0,51.0,17.0
Charith Asalanka,0,0.0,10.0,0.0,0,6.0,1.0
Charl Langeveldt,14,24.61,5.33,25.56,1,47.33,71.0
Charlie Lock,3,9.5,4.48,15.6,0,38.4,32.0
Chetan Sharma,6,19.62,4.73,26.0,0,54.25,36.1
Chris Broad,0,0.0,6.0,0.0,0,6.0,1.0
Chris Cairns,18,13.47,6.16,17.09,0,38.26,146.0
Chris Gayle,16,14.07,5.35,16.93,0,39.65,131.7
Chris Harris,32,15.81,4.5,21.55,0,43.19,194.2
Chris Jordan,4,18.0,3.98,24.5,0,49.0,16.2
Chris Lewis,7,2.92,4.47,4.78,0,50.67,50.4
Chris Morris,13,24.5,5.22,27.9,0,54.57,63.4
Chris Mpofu,11,29.79,5.59,31.07,0,48.0,56.0
Chris Old,16,19.52,2.58,44.22,0,60.33,90.3
Chris Tremlett,0,0.0,7.23,0.0,0,37.5,12.3
