VS,Match Id,Player,Overs,Teaminnings,Mins,Given Runs,Wickets,ECON,Dot Balls,Fours,Sixs,Wides,No Balls,Bowling Average,Balls,Strike Rate,Five Wicket Hauls,Bowling Figure
India VS Sri Lanka,ODI # 68,Colin Croft,12.0,New Zealand,1,38,1,3.16,0,0,0,0,0,38.0,72,72.0,0,1/38
India VS Sri Lanka,ODI # 68,Joel Garner,12.0,New Zealand,0,45,2,3.75,0,0,0,0,0,22.5,72,36.0,0,2/45
India VS Sri Lanka,ODI # 68,Collis King,12.0,New Zealand,1,38,1,3.16,0,0,0,0,0,38.0,72,72.0,0,1/38
New Zealand VS West Indies,ODI # 69,Rodney Hogg,2.0,Canada,0,26,0,13.0,0,0,0,0,0,0.0,12,0.0,0,0/26
New Zealand VS West Indies,ODI # 69,Alan Hurst,10.0,Canada,3,21,5,2.1,0,0,0,0,0,4.2,60,12.0,1,5/21
New Zealand VS West Indies,ODI # 69,Geoff Dymock,8.0,Canada,2,17,1,2.12,0,0,0,0,0,17.0,48,48.0,0,1/17
New Zealand VS West Indies,ODI # 69,Graeme Porter,6.0,Canada,2,13,2,2.16,0,0,0,0,0,6.5,36,18.0,0,2/13
New Zealand VS West Indies,ODI # 69,Gary Cosier,7.2,Canada,2,17,2,2.31,0,0,0,0,0,8.5,44,22.0,0,2/17
New Zealand VS West Indies,ODI # 69,John Valentine,3.0,Australia,0,28,1,9.33,0,0,0,0,0,28.0,18,18.0,0,1/28
New Zealand VS West Indies,ODI # 69,Robert Callender,3.0,Australia,0,12,0,4.0,0,0,0,0,0,0.0,18,0.0,0,0/12
New Zealand VS West Indies,ODI # 69,Cornelius Henry,10.0,Australia,0,27,2,2.7,0,0,0,0,0,13.5,60,30.0,0,2/27
New Zealand VS West Indies,ODI # 69,John Vaughan,6.0,Australia,0,15,0,2.5,0,0,0,0,0,0.0,36,0.0,0,0/15
New Zealand VS West Indies,ODI # 69,Jitendra Patel,4.0,Australia,0,20,0,5.0,0,0,0,0,0,0.0,24,0.0,0,0/20
Australia VS Canada,ODI # 70,Imran Khan,12.0,England,3,24,1,2.0,0,0,0,0,0,24.0,72,72.0,0,1/24
Australia VS Canada,ODI # 70,Sikander Bakht,12.0,England,3,32,3,2.66,0,0,0,0,0,10.67,72,24.0,0,3/32
Australia VS Canada,ODI # 70,Mudassar Nazar,12.0,England,4,30,0,2.5,0,0,0,0,0,0.0,72,0.0,0,0/30
Australia VS Canada,ODI # 70,Asif Iqbal,12.0,England,3,37,2,3.08,0,0,0,0,0,18.5,72,36.0,0,2/37
Australia VS Canada,ODI # 70,Majid Khan,12.0,England,2,27,3,2.25,0,0,0,0,0,9.0,72,24.0,0,3/27
Australia VS Canada,ODI # 70,Bob Willis,11.0,Pakistan,2,37,1,3.36,0,0,0,0,0,37.0,66,66.0,0,1/37
Australia VS Canada,ODI # 70,Mike Hendrick,12.0,Pakistan,6,15,4,1.25,0,0,0,0,0,3.75,72,18.0,0,4/15
Australia VS Canada,ODI # 70,Ian Botham,12.0,Pakistan,3,38,2,3.16,0,0,0,0,0,19.0,72,36.0,0,2/38
Australia VS Canada,ODI # 70,Chris Old,12.0,Pakistan,2,28,1,2.33,0,0,0,0,0,28.0,72,72.0,0,1/28
Australia VS Canada,ODI # 70,Phil Edmonds,3.0,Pakistan,0,8,0,2.66,0,0,0,0,0,0.0,18,0.0,0,0/8
Australia VS Canada,ODI # 70,Geoff Boycott,5.0,Pakistan,0,14,2,2.8,0,0,0,0,0,7.0,30,15.0,0,2/14
Australia VS Canada,ODI # 70,Graham Gooch,1.0,Pakistan,0,1,0,1.0,0,0,0,0,0,0.0,6,0.0,0,0/1
England VS Pakistan,ODI # 71,Richard Hadlee,10.0,India,2,20,2,2.0,0,0,0,0,0,10.0,60,30.0,0,2/20
England VS Pakistan,ODI # 71,Gary Troup,10.0,India,2,36,2,3.6,0,0,0,0,0,18.0,60,30.0,0,2/36
England VS Pakistan,ODI # 71,Lance Cairns,11.5,India,0,36,3,3.04,0,0,0,0,0,12.0,71,23.67,0,3/36
England VS Pakistan,ODI # 71,Brian McKechnie,12.0,India,1,24,3,2.0,0,0,0,0,0,8.0,72,24.0,0,3/24
England VS Pakistan,ODI # 71,Jeremy Coney,7.0,India,0,33,0,4.71,0,0,0,0,0,0.0,42,0.0,0,0/33
England VS Pakistan,ODI # 71,John Morrison,5.0,India,0,19,0,3.8,0,0,0,0,0,0.0,30,0.0,0,0/19
England VS Pakistan,ODI # 71,Mohinder Amarnath,12.0,New Zealand,1,39,1,3.25,0,0,0,0,0,39.0,72,72.0,0,1/39
England VS Pakistan,ODI # 71,Bishan Bedi,12.0,New Zealand,1,32,0,2.66,0,0,0,0,0,0.0,72,0.0,0,0/32
England VS Pakistan,ODI # 71,Srinivas Venkataraghavan,12.0,New Zealand,0,34,0,2.83,0,0,0,0,0,0.0,72,0.0,0,0/34
England VS Pakistan,ODI # 71,Karsan Ghavri,10.0,New Zealand,1,34,0,3.4,0,0,0,0,0,0.0,60,0.0,0,0/34
England VS Pakistan,ODI # 71,Kapil Dev,11.0,New Zealand,3,38,0,3.45,0,0,0,0,0,0.0,66,0.0,0,0/38
India VS New Zealand,ODI # 65,Graeme Porter,12.0,Pakistan,3,20,1,1.66,0,0,0,0,0,20.0,72,72.0,0,1/20
India VS New Zealand,ODI # 65,Geoff Dymock,12.0,Pakistan,3,28,1,2.33,0,0,0,0,0,28.0,72,72.0,0,1/28
India VS New Zealand,ODI # 65,Gary Cosier,12.0,Pakistan,1,54,3,4.5,0,0,0,0,0,18.0,72,24.0,0,3/54
India VS New Zealand,ODI # 65,Alan Hurst,12.0,Pakistan,0,65,1,5.41,0,0,0,0,0,65.0,72,72.0,0,1/65
India VS New Zealand,ODI # 65,Graham Yallop,8.0,Pakistan,0,56,0,7.0,0,0,0,0,0,0.0,48,0.0,0,0/56
India VS New Zealand,ODI # 65,Allan Border,4.0,Pakistan,0,38,1,9.5,0,0,0,0,0,38.0,24,24.0,0,1/38
India VS New Zealand,ODI # 65,Asif Iqbal,12.0,Australia,0,36,0,3.0,0,0,0,0,0,0.0,72,0.0,0,0/36
India VS New Zealand,ODI # 65,Majid Khan,12.0,Australia,0,53,3,4.41,0,0,0,0,0,17.67,72,24.0,0,3/53
India VS New Zealand,ODI # 65,Mudassar Nazar,12.0,Australia,0,31,1,2.58,0,0,0,0,0,31.0,72,72.0,0,1/31
India VS New Zealand,ODI # 65,Imran Khan,10.1,Australia,2,29,2,2.85,0,0,0,0,0,14.5,61,30.5,0,2/29
India VS New Zealand,ODI # 65,Sikander Bakht,11.0,Australia,1,34,3,3.09,0,0,0,0,0,11.33,66,22.0,0,3/34
Australia VS Pakistan,ODI # 66,Bob Willis,10.3,Canada,3,11,4,1.04,0,0,0,0,0,2.75,63,15.75,0,4/11
Australia VS Pakistan,ODI # 66,Mike Hendrick,8.0,Canada,4,5,1,0.62,0,0,0,0,0,5.0,48,48.0,0,1/5
Australia VS Pakistan,ODI # 66,Ian Botham,9.0,Canada,5,12,1,1.33,0,0,0,0,0,12.0,54,54.0,0,1/12
Australia VS Pakistan,ODI # 66,Geoff Miller,2.0,Canada,1,1,0,0.5,0,0,0,0,0,0.0,12,0.0,0,0/1
Australia VS Pakistan,ODI # 66,Geoff Boycott,1.0,Canada,0,3,0,3.0,0,0,0,0,0,0.0,6,0.0,0,0/3
Australia VS Pakistan,ODI # 66,Chris Old,10.0,Canada,5,8,4,0.8,0,0,0,0,0,2.0,60,15.0,0,4/8
Australia VS Pakistan,ODI # 66,John Valentine,7.0,England,2,20,1,2.85,0,0,0,0,0,20.0,42,42.0,0,1/20
Australia VS Pakistan,ODI # 66,Robert Callender,6.0,England,1,14,1,2.33,0,0,0,0,0,14.0,36,36.0,0,1/14
Australia VS Pakistan,ODI # 66,Martin Stead,0.5,England,0,6,0,7.2,0,0,0,0,0,0.0,5,0.0,0,0/6
England VS Canada,ODI # 67,Andy Roberts,9.1,India,0,32,2,3.49,0,0,0,0,0,16.0,55,27.5,0,2/32
England VS Canada,ODI # 67,Michael Holding,12.0,India,2,33,4,2.75,0,0,0,0,0,8.25,72,18.0,0,4/33
England VS Canada,ODI # 67,Joel Garner,12.0,India,1,42,1,3.5,0,0,0,0,0,42.0,72,72.0,0,1/42
England VS Canada,ODI # 67,Colin Croft,10.0,India,1,31,1,3.1,0,0,0,0,0,31.0,60,60.0,0,1/31
England VS Canada,ODI # 67,Collis King,10.0,India,1,36,1,3.6,0,0,0,0,0,36.0,60,60.0,0,1/36
England VS Canada,ODI # 67,Kapil Dev,10.0,West Indies,1,46,1,4.6,0,0,0,0,0,46.0,60,60.0,0,1/46
England VS Canada,ODI # 67,Karsan Ghavri,10.0,West Indies,2,25,0,2.5,0,0,0,0,0,0.0,60,0.0,0,0/25
England VS Canada,ODI # 67,Srinivas Venkataraghavan,12.0,West Indies,3,30,0,2.5,0,0,0,0,0,0.0,72,0.0,0,0/30
England VS Canada,ODI # 67,Bishan Bedi,12.0,West Indies,0,45,0,3.75,0,0,0,0,0,0.0,72,0.0,0,0/45
