VS,Match Id,Player,Overs,Teaminnings,Mins,Given Runs,Wickets,ECON,Dot Balls,Fours,Sixs,Wides,No Balls,Bowling Average,Balls,Strike Rate,Five Wicket Hauls,Bowling Figure
India VS Australia,ODI # 453,Rumesh Ratnayake,10.0,Pakistan,0,64,2,6.4,0,0,0,0,0,32.0,60,30.0,0,2/64
India VS Australia,ODI # 453,Ravi Ratnayeke,9.0,Pakistan,0,47,2,5.22,0,0,0,0,0,23.5,54,27.0,0,2/47
India VS Australia,ODI # 453,Aravinda de Silva,10.0,Pakistan,0,44,0,4.4,0,0,0,0,0,0.0,60,0.0,0,0/44
India VS Australia,ODI # 453,Don Anurasiri,10.0,Pakistan,0,52,1,5.2,0,0,0,0,0,52.0,60,60.0,0,1/52
India VS Australia,ODI # 453,Asanka Gurusinha,1.0,Pakistan,0,8,0,8.0,0,0,0,0,0,0.0,6,0.0,0,0/8
India VS Australia,ODI # 453,Imran Khan,10.0,Sri Lanka,2,42,2,4.2,0,0,0,0,0,21.0,60,30.0,0,2/42
India VS Australia,ODI # 453,Wasim Akram,9.2,Sri Lanka,1,41,2,4.39,0,0,0,0,0,20.5,56,28.0,0,2/41
India VS Australia,ODI # 453,Mudassar Nazar,9.0,Sri Lanka,0,63,0,7.0,0,0,0,0,0,0.0,54,0.0,0,0/63
India VS Australia,ODI # 453,Abdul Qadir,10.0,Sri Lanka,1,30,2,3.0,0,0,0,0,0,15.0,60,30.0,0,2/30
India VS Australia,ODI # 453,Tauseef Ahmed,10.0,Sri Lanka,0,48,1,4.8,0,0,0,0,0,48.0,60,60.0,0,1/48
India VS Australia,ODI # 453,Mansoor Akhtar,1.0,Sri Lanka,0,7,1,7.0,0,0,0,0,0,7.0,6,6.0,0,1/7
Pakistan VS Sri Lanka,ODI # 451,Derek Pringle,10.0,Pakistan,2,22,3,2.2,51,1,0,3,5,7.33,60,20.0,0,3/22
Pakistan VS Sri Lanka,ODI # 451,Chris Lewis,10.0,Pakistan,2,52,0,5.2,36,5,0,1,2,0.0,60,0.0,0,0/52
Pakistan VS Sri Lanka,ODI # 451,Ian Botham,7.0,Pakistan,0,42,1,6.0,22,5,0,1,0,42.0,42,42.0,0,1/42
Pakistan VS Sri Lanka,ODI # 451,Phil DeFreitas,10.0,Pakistan,1,42,0,4.2,30,3,0,0,0,0.0,60,0.0,0,0/42
Pakistan VS Sri Lanka,ODI # 451,Richard Illingworth,10.0,Pakistan,0,50,1,5.0,28,2,1,0,0,50.0,60,60.0,0,1/50
Pakistan VS Sri Lanka,ODI # 451,Dermot Reeve,3.0,Pakistan,0,22,0,7.33,6,2,0,1,0,0.0,18,0.0,0,0/22
Pakistan VS Sri Lanka,ODI # 451,Wasim Akram,10.0,England,0,49,3,4.9,34,1,0,6,4,16.33,60,20.0,0,3/49
Pakistan VS Sri Lanka,ODI # 451,Aaqib Javed,10.0,England,2,27,2,2.7,45,2,0,3,1,13.5,60,30.0,0,2/27
Pakistan VS Sri Lanka,ODI # 451,Mushtaq Ahmed,10.0,England,1,41,3,4.1,38,3,0,1,0,13.67,60,20.0,0,3/41
Pakistan VS Sri Lanka,ODI # 451,Ijaz Ahmed,3.0,England,0,13,0,4.33,8,0,0,2,0,0.0,18,0.0,0,0/13
Pakistan VS Sri Lanka,ODI # 451,Imran Khan,6.2,England,0,43,1,6.78,11,4,0,0,1,43.0,38,38.0,0,1/43
Pakistan VS Sri Lanka,ODI # 451,Aamer Sohail,10.0,England,0,49,0,4.9,24,1,0,1,0,0.0,60,0.0,0,0/49
England VS Pakistan,ODI # 752,Allan Donald,10.0,England,0,69,2,6.9,0,0,0,5,3,34.5,60,30.0,0,2/69
England VS Pakistan,ODI # 752,Meyrick Pringle,9.0,England,2,36,2,4.0,0,0,0,2,4,18.0,54,27.0,0,2/36
England VS Pakistan,ODI # 752,Richard Snell,8.0,England,0,52,1,6.5,0,0,0,2,0,52.0,48,48.0,0,1/52
England VS Pakistan,ODI # 752,Brian McMillan,9.0,England,0,47,1,5.22,0,0,0,0,0,47.0,54,54.0,0,1/47
England VS Pakistan,ODI # 752,Adrian Kuiper,5.0,England,0,26,0,5.2,0,0,0,0,0,0.0,30,0.0,0,0/26
England VS Pakistan,ODI # 752,Hansie Cronje,4.0,England,0,14,0,3.5,0,0,0,0,0,0.0,24,0.0,0,0/14
England VS Pakistan,ODI # 752,Ian Botham,10.0,South Africa,0,52,1,5.2,0,0,0,3,0,52.0,60,60.0,0,1/52
England VS Pakistan,ODI # 752,Chris Lewis,5.0,South Africa,0,38,0,7.6,0,0,0,0,0,0.0,30,0.0,0,0/38
England VS Pakistan,ODI # 752,Phil DeFreitas,8.0,South Africa,1,28,1,3.5,0,0,0,1,0,28.0,48,48.0,0,1/28
England VS Pakistan,ODI # 752,Richard Illingworth,10.0,South Africa,1,46,2,4.6,0,0,0,0,0,23.0,60,30.0,0,2/46
England VS Pakistan,ODI # 752,Gladstone Small,10.0,South Africa,1,51,2,5.1,0,0,0,0,0,25.5,60,30.0,0,2/51
England VS South Africa,ODI # 751,Wasim Akram,10.0,New Zealand,0,40,2,4.0,43,1,2,2,4,20.0,60,30.0,0,2/40
England VS South Africa,ODI # 751,Aaqib Javed,10.0,New Zealand,2,45,1,4.5,39,4,1,2,0,45.0,60,60.0,0,1/45
England VS South Africa,ODI # 751,Mushtaq Ahmed,10.0,New Zealand,0,40,2,4.0,38,3,1,0,0,20.0,60,30.0,0,2/40
England VS South Africa,ODI # 751,Imran Khan,10.0,New Zealand,0,59,0,5.9,28,5,1,3,0,0.0,60,0.0,0,0/59
England VS South Africa,ODI # 751,Iqbal Sikander,9.0,New Zealand,0,56,1,6.22,25,6,1,1,0,56.0,54,54.0,0,1/56
England VS South Africa,ODI # 751,Aamer Sohail,1.0,New Zealand,0,11,0,11.0,1,2,0,0,0,0.0,6,0.0,0,0/11
England VS South Africa,ODI # 751,Dipak Patel,10.0,Pakistan,1,50,1,5.0,32,4,1,0,0,50.0,60,60.0,0,1/50
England VS South Africa,ODI # 751,Danny Morrison,9.0,Pakistan,0,55,0,6.11,28,8,0,1,0,0.0,54,0.0,0,0/55
England VS South Africa,ODI # 751,Willie Watson,10.0,Pakistan,2,39,2,3.9,37,2,0,0,1,19.5,60,30.0,0,2/39
England VS South Africa,ODI # 751,Gavin Larsen,10.0,Pakistan,1,34,1,3.4,39,2,1,0,0,34.0,60,60.0,0,1/34
England VS South Africa,ODI # 751,Chris Harris,10.0,Pakistan,0,72,1,7.2,19,6,2,0,0,72.0,60,60.0,0,1/72
New Zealand VS Pakistan,ODI # 750,Curtly Ambrose,10.0,Australia,0,46,0,4.6,0,0,0,0,0,0.0,60,0.0,0,0/46
New Zealand VS Pakistan,ODI # 750,Winston Benjamin,10.0,Australia,1,49,0,4.9,0,0,0,0,0,0.0,60,0.0,0,0/49
New Zealand VS Pakistan,ODI # 750,Anderson Cummins,10.0,Australia,1,38,3,3.8,0,0,0,0,0,12.67,60,20.0,0,3/38
New Zealand VS Pakistan,ODI # 750,Carl Hooper,10.0,Australia,0,40,1,4.0,0,0,0,0,0,40.0,60,60.0,0,1/40
New Zealand VS Pakistan,ODI # 750,Phil Simmons,10.0,Australia,1,40,2,4.0,0,0,0,0,0,20.0,60,30.0,0,2/40
New Zealand VS Pakistan,ODI # 750,Craig McDermott,6.0,West Indies,1,29,2,4.83,0,0,0,0,0,14.5,36,18.0,0,2/29
New Zealand VS Pakistan,ODI # 750,Bruce Reid,10.0,West Indies,1,26,1,2.6,0,0,0,0,0,26.0,60,60.0,0,1/26
New Zealand VS Pakistan,ODI # 750,Mike Whitney,10.0,West Indies,1,34,4,3.4,0,0,0,0,0,8.5,60,15.0,0,4/34
New Zealand VS Pakistan,ODI # 750,Steve Waugh,6.4,West Indies,0,24,1,3.6,0,0,0,0,0,24.0,40,40.0,0,1/24
New Zealand VS Pakistan,ODI # 750,Peter Taylor,4.0,West Indies,0,24,0,6.0,0,0,0,0,0,0.0,24,0.0,0,0/24
New Zealand VS Pakistan,ODI # 750,Tom Moody,6.0,West Indies,1,14,0,2.33,0,0,0,0,0,0.0,36,0.0,0,0/14
Australia VS West Indies,ODI # 749,Phil DeFreitas,8.0,Zimbabwe,1,14,1,1.75,0,0,0,0,0,14.0,48,48.0,0,1/14
Australia VS West Indies,ODI # 749,Gladstone Small,9.0,Zimbabwe,1,20,1,2.22,0,0,0,0,0,20.0,54,54.0,0,1/20
Australia VS West Indies,ODI # 749,Ian Botham,10.0,Zimbabwe,2,23,3,2.3,0,0,0,0,0,7.67,60,20.0,0,3/23
Australia VS West Indies,ODI # 749,Richard Illingworth,9.1,Zimbabwe,0,33,3,3.6,0,0,0,0,0,11.0,55,18.33,0,3/33
Australia VS West Indies,ODI # 749,Phil Tufnell,10.0,Zimbabwe,2,36,2,3.6,0,0,0,0,0,18.0,60,30.0,0,2/36
Australia VS West Indies,ODI # 749,Eddo Brandes,10.0,England,4,21,4,2.1,0,0,0,0,0,5.25,60,15.0,0,4/21
Australia VS West Indies,ODI # 749,Malcolm Jarvis,9.1,England,0,32,1,3.49,0,0,0,0,0,32.0,55,55.0,0,1/32
Australia VS West Indies,ODI # 749,Ali Shah,10.0,England,3,17,2,1.7,0,0,0,0,0,8.5,60,30.0,0,2/17
Australia VS West Indies,ODI # 749,John Traicos,10.0,England,4,16,0,1.6,0,0,0,0,0,0.0,60,0.0,0,0/16
Australia VS West Indies,ODI # 749,Iain Butchart,10.0,England,1,32,2,3.2,0,0,0,0,0,16.0,60,30.0,0,2/32
England VS Zimbabwe,ODI # 748,Wasim Akram,9.2,New Zealand,0,32,4,3.42,0,0,0,9,3,8.0,56,14.0,0,4/32
England VS Zimbabwe,ODI # 748,Aaqib Javed,10.0,New Zealand,1,34,1,3.4,0,0,0,1,2,34.0,60,60.0,0,1/34
England VS Zimbabwe,ODI # 748,Mushtaq Ahmed,10.0,New Zealand,0,18,2,1.8,0,0,0,2,0,9.0,60,30.0,0,2/18
England VS Zimbabwe,ODI # 748,Imran Khan,8.0,New Zealand,0,22,1,2.75,0,0,0,0,0,22.0,48,48.0,0,1/22
England VS Zimbabwe,ODI # 748,Aamer Sohail,10.0,New Zealand,1,29,1,2.9,0,0,0,0,0,29.0,60,60.0,0,1/29
England VS Zimbabwe,ODI # 748,Ijaz Ahmed,1.0,New Zealand,0,5,0,5.0,0,0,0,0,0,0.0,6,0.0,0,0/5
England VS Zimbabwe,ODI # 748,Danny Morrison,10.0,Pakistan,0,42,3,4.2,0,0,0,0,3,14.0,60,20.0,0,3/42
England VS Zimbabwe,ODI # 748,Dipak Patel,10.0,Pakistan,2,25,0,2.5,0,0,0,0,0,0.0,60,0.0,0,0/25
England VS Zimbabwe,ODI # 748,Willie Watson,10.0,Pakistan,3,26,0,2.6,0,0,0,0,1,0.0,60,0.0,0,0/26
England VS Zimbabwe,ODI # 748,Chris Harris,4.0,Pakistan,0,18,0,4.5,0,0,0,0,0,0.0,24,0.0,0,0/18
England VS Zimbabwe,ODI # 748,Gavin Larsen,3.0,Pakistan,0,16,0,5.33,0,0,0,0,0,0.0,18,0.0,0,0/16
England VS Zimbabwe,ODI # 748,Andrew Jones,3.0,Pakistan,0,10,0,3.33,0,0,0,0,0,0.0,18,0.0,0,0/10
England VS Zimbabwe,ODI # 748,Rod Latham,2.0,Pakistan,0,13,0,6.5,0,0,0,0,0,0.0,12,0.0,0,0/13
England VS Zimbabwe,ODI # 748,Ken Rutherford,1.4,Pakistan,0,11,0,6.6,0,0,0,1,0,0.0,10,0.0,0,0/11
England VS Zimbabwe,ODI # 748,Mark Greatbatch,1.0,Pakistan,0,5,0,5.0,0,0,0,0,0,0.0,6,0.0,0,0/5
New Zealand VS Pakistan,ODI # 747,Wasim Akram,10.0,Sri Lanka,0,37,1,3.7,0,0,0,2,4,37.0,60,60.0,0,1/37
New Zealand VS Pakistan,ODI # 747,Aaqib Javed,10.0,Sri Lanka,0,39,0,3.9,0,0,0,3,2,0.0,60,0.0,0,0/39
New Zealand VS Pakistan,ODI # 747,Imran Khan,8.0,Sri Lanka,1,36,1,4.5,0,0,0,0,0,36.0,48,48.0,0,1/36
New Zealand VS Pakistan,ODI # 747,Mushtaq Ahmed,10.0,Sri Lanka,0,43,2,4.3,0,0,0,2,0,21.5,60,30.0,0,2/43
New Zealand VS Pakistan,ODI # 747,Ijaz Ahmed,8.0,Sri Lanka,0,28,1,3.5,0,0,0,3,0,28.0,48,48.0,0,1/28
New Zealand VS Pakistan,ODI # 747,Aamer Sohail,4.0,Sri Lanka,0,14,1,3.5,0,0,0,1,0,14.0,24,24.0,0,1/14
New Zealand VS Pakistan,ODI # 747,Kapila Wijegunawardene,10.0,Pakistan,1,34,0,3.4,0,0,0,0,7,0.0,60,0.0,0,0/34
New Zealand VS Pakistan,ODI # 747,Champaka Ramanayake,10.0,Pakistan,1,37,2,3.7,0,0,0,4,0,18.5,60,30.0,0,2/37
New Zealand VS Pakistan,ODI # 747,Pramodya Wickramasinghe,9.1,Pakistan,0,41,1,4.47,0,0,0,1,0,41.0,55,55.0,0,1/41
New Zealand VS Pakistan,ODI # 747,Asanka Gurusinha,9.0,Pakistan,0,38,1,4.22,0,0,0,1,0,38.0,54,54.0,0,1/38
New Zealand VS Pakistan,ODI # 747,Chandika Hathurusinghe,9.0,Pakistan,0,40,1,4.44,0,0,0,2,1,40.0,54,54.0,0,1/40
New Zealand VS Pakistan,ODI # 747,Ruwan Kalpage,2.0,Pakistan,0,14,0,7.0,0,0,0,1,0,0.0,12,0.0,0,0/14
Pakistan VS Sri Lanka,ODI # 746,Allan Donald,6.0,India,0,34,2,5.66,0,0,0,3,0,17.0,36,18.0,0,2/34
Pakistan VS Sri Lanka,ODI # 746,Meyrick Pringle,6.0,India,0,37,1,6.16,0,0,0,2,2,37.0,36,36.0,0,1/37
Pakistan VS Sri Lanka,ODI # 746,Richard Snell,6.0,India,1,46,0,7.66,0,0,0,0,0,0.0,36,0.0,0,0/46
Pakistan VS Sri Lanka,ODI # 746,Brian McMillan,6.0,India,0,28,0,4.66,0,0,0,0,0,0.0,36,0.0,0,0/28
Pakistan VS Sri Lanka,ODI # 746,Adrian Kuiper,6.0,India,0,28,2,4.66,0,0,0,1,0,14.0,36,18.0,0,2/28
Pakistan VS Sri Lanka,ODI # 746,Kapil Dev,6.0,South Africa,0,36,1,6.0,0,0,0,0,0,36.0,36,36.0,0,1/36
Pakistan VS Sri Lanka,ODI # 746,Manoj Prabhakar,5.1,South Africa,1,33,1,6.38,0,0,0,0,1,33.0,31,31.0,0,1/33
Pakistan VS Sri Lanka,ODI # 746,Sachin Tendulkar,6.0,South Africa,0,20,0,3.33,0,0,0,0,1,0.0,36,0.0,0,0/20
Pakistan VS Sri Lanka,ODI # 746,Javagal Srinath,6.0,South Africa,0,39,1,6.5,0,0,0,0,3,39.0,36,36.0,0,1/39
Pakistan VS Sri Lanka,ODI # 746,Venkatapathy Raju,6.0,South Africa,0,43,0,7.16,0,0,0,0,0,0.0,36,0.0,0,0/43
India VS South Africa,ODI # 745,Dipak Patel,10.0,England,1,26,2,2.6,0,0,0,0,0,13.0,60,30.0,0,2/26
India VS South Africa,ODI # 745,Chris Harris,8.0,England,0,39,2,4.87,0,0,0,1,0,19.5,48,24.0,0,2/39
India VS South Africa,ODI # 745,Willie Watson,10.0,England,0,40,2,4.0,0,0,0,1,0,20.0,60,30.0,0,2/40
India VS South Africa,ODI # 745,Chris Cairns,3.0,England,0,21,0,7.0,0,0,0,1,0,0.0,18,0.0,0,0/21
India VS South Africa,ODI # 745,Gavin Larsen,10.0,England,3,24,0,2.4,0,0,0,1,0,0.0,60,0.0,0,0/24
India VS South Africa,ODI # 745,Andrew Jones,9.0,England,0,42,2,4.66,0,0,0,0,0,21.0,54,27.0,0,2/42
India VS South Africa,ODI # 745,Derek Pringle,6.2,New Zealand,1,34,0,5.36,0,0,0,1,1,0.0,38,0.0,0,0/34
India VS South Africa,ODI # 745,Phil DeFreitas,8.3,New Zealand,1,45,1,5.29,0,0,0,0,0,45.0,51,51.0,0,1/45
India VS South Africa,ODI # 745,Ian Botham,4.0,New Zealand,0,19,1,4.75,0,0,0,0,0,19.0,24,24.0,0,1/19
India VS South Africa,ODI # 745,Richard Illingworth,9.0,New Zealand,1,46,0,5.11,0,0,0,0,0,0.0,54,0.0,0,0/46
India VS South Africa,ODI # 745,Graeme Hick,6.0,New Zealand,0,26,0,4.33,0,0,0,0,0,0.0,36,0.0,0,0/26
India VS South Africa,ODI # 745,Dermot Reeve,3.0,New Zealand,0,9,0,3.0,0,0,0,0,0,0.0,18,0.0,0,0/9
India VS South Africa,ODI # 745,Gladstone Small,4.0,New Zealand,0,13,0,3.25,0,0,0,0,0,0.0,24,0.0,0,0/13
New Zealand VS England,ODI # 744,Eddo Brandes,9.0,Australia,0,59,1,6.55,0,0,0,0,1,59.0,54,54.0,0,1/59
New Zealand VS England,ODI # 744,Kevin Duers,9.0,Australia,1,48,1,5.33,0,0,0,1,0,48.0,54,54.0,0,1/48
New Zealand VS England,ODI # 744,Mark Burmester,9.0,Australia,0,65,1,7.22,0,0,0,1,0,65.0,54,54.0,0,1/65
New Zealand VS England,ODI # 744,Ali Shah,9.0,Australia,0,53,1,5.88,0,0,0,0,0,53.0,54,54.0,0,1/53
New Zealand VS England,ODI # 744,John Traicos,10.0,Australia,0,30,1,3.0,0,0,0,0,0,30.0,60,60.0,0,1/30
New Zealand VS England,ODI # 744,Craig McDermott,8.0,Zimbabwe,0,26,1,3.25,0,0,0,3,1,26.0,48,48.0,0,1/26
New Zealand VS England,ODI # 744,Bruce Reid,9.0,Zimbabwe,2,17,1,1.88,0,0,0,0,1,17.0,54,54.0,0,1/17
New Zealand VS England,ODI # 744,Steve Waugh,7.0,Zimbabwe,0,28,2,4.0,0,0,0,4,0,14.0,42,21.0,0,2/28
New Zealand VS England,ODI # 744,Mike Whitney,10.0,Zimbabwe,3,15,2,1.5,0,0,0,0,0,7.5,60,30.0,0,2/15
New Zealand VS England,ODI # 744,Tom Moody,4.0,Zimbabwe,0,25,1,6.25,0,0,0,1,0,25.0,24,24.0,0,1/25
New Zealand VS England,ODI # 744,Peter Taylor,3.4,Zimbabwe,0,14,2,3.81,0,0,0,0,0,7.0,22,11.0,0,2/14
Australia VS Zimbabwe,ODI # 743,Pramodya Wickramasinghe,7.0,West Indies,0,30,0,4.28,0,0,0,2,1,0.0,42,0.0,0,0/30
Australia VS Zimbabwe,ODI # 743,Champaka Ramanayake,7.0,West Indies,1,17,1,2.42,0,0,0,1,1,17.0,42,42.0,0,1/17
Australia VS Zimbabwe,ODI # 743,Don Anurasiri,10.0,West Indies,0,46,1,4.6,0,0,0,0,0,46.0,60,60.0,0,1/46
Australia VS Zimbabwe,ODI # 743,Asanka Gurusinha,1.0,West Indies,0,10,0,10.0,0,0,0,0,0,0.0,6,0.0,0,0/10
Australia VS Zimbabwe,ODI # 743,Arjuna Ranatunga,7.0,West Indies,0,35,1,5.0,0,0,0,0,0,35.0,42,42.0,0,1/35
Australia VS Zimbabwe,ODI # 743,Ruwan Kalpage,10.0,West Indies,0,64,0,6.4,0,0,0,0,0,0.0,60,0.0,0,0/64
Australia VS Zimbabwe,ODI # 743,Chandika Hathurusinghe,8.0,West Indies,0,57,4,7.12,0,0,0,0,4,14.25,48,12.0,0,4/57
Australia VS Zimbabwe,ODI # 743,Curtly Ambrose,10.0,Sri Lanka,2,24,2,2.4,0,0,0,6,0,12.0,60,30.0,0,2/24
Australia VS Zimbabwe,ODI # 743,Winston Benjamin,10.0,Sri Lanka,0,34,1,3.4,0,0,0,5,0,34.0,60,60.0,0,1/34
Australia VS Zimbabwe,ODI # 743,Anderson Cummins,9.0,Sri Lanka,0,49,1,5.44,0,0,0,3,1,49.0,54,54.0,0,1/49
Australia VS Zimbabwe,ODI # 743,Carl Hooper,10.0,Sri Lanka,1,19,2,1.9,0,0,0,0,0,9.5,60,30.0,0,2/19
Australia VS Zimbabwe,ODI # 743,Keith Arthurton,10.0,Sri Lanka,0,40,2,4.0,0,0,0,0,1,20.0,60,30.0,0,2/40
Australia VS Zimbabwe,ODI # 743,Phil Simmons,1.0,Sri Lanka,0,3,0,3.0,0,0,0,0,0,0.0,6,0.0,0,0/3
Sri Lanka VS West Indies,ODI # 742,Derek Pringle,9.0,South Africa,2,34,0,3.77,0,0,0,2,3,0.0,54,0.0,0,0/34
Sri Lanka VS West Indies,ODI # 742,Phil DeFreitas,10.0,South Africa,1,41,1,4.1,0,0,0,1,0,41.0,60,60.0,0,1/41
Sri Lanka VS West Indies,ODI # 742,Ian Botham,8.0,South Africa,0,37,0,4.62,0,0,0,0,0,0.0,48,0.0,0,0/37
Sri Lanka VS West Indies,ODI # 742,Gladstone Small,2.0,South Africa,0,14,0,7.0,0,0,0,1,0,0.0,12,0.0,0,0/14
Sri Lanka VS West Indies,ODI # 742,Richard Illingworth,10.0,South Africa,0,43,0,4.3,0,0,0,0,0,0.0,60,0.0,0,0/43
Sri Lanka VS West Indies,ODI # 742,Dermot Reeve,2.4,South Africa,0,15,0,5.62,0,0,0,0,0,0.0,16,0.0,0,0/15
Sri Lanka VS West Indies,ODI # 742,Graeme Hick,8.2,South Africa,0,44,2,5.28,0,0,0,0,0,22.0,50,25.0,0,2/44
Sri Lanka VS West Indies,ODI # 742,Allan Donald,9.0,England,1,43,0,4.77,0,0,0,0,1,0.0,54,0.0,0,0/43
Sri Lanka VS West Indies,ODI # 742,Meyrick Pringle,8.0,England,0,44,0,5.5,0,0,0,1,2,0.0,48,0.0,0,0/44
Sri Lanka VS West Indies,ODI # 742,Richard Snell,7.5,England,0,42,3,5.36,0,0,0,0,0,14.0,47,15.67,0,3/42
Sri Lanka VS West Indies,ODI # 742,Brian McMillan,8.0,England,1,39,2,4.87,0,0,0,0,0,19.5,48,24.0,0,2/39
Sri Lanka VS West Indies,ODI # 742,Adrian Kuiper,4.0,England,0,32,0,8.0,0,0,0,0,0,0.0,24,0.0,0,0/32
Sri Lanka VS West Indies,ODI # 742,Hansie Cronje,3.0,England,0,14,0,4.66,0,0,0,0,0,0.0,18,0.0,0,0/14
Sri Lanka VS West Indies,ODI # 742,Peter Kirsten,1.0,England,0,9,0,9.0,0,0,0,0,0,0.0,6,0.0,0,0/9
England VS South Africa,ODI # 741,Chris Cairns,8.0,India,1,40,0,5.0,0,0,0,0,1,0.0,48,0.0,0,0/40
England VS South Africa,ODI # 741,Dipak Patel,10.0,India,0,29,2,2.9,0,0,0,0,0,14.5,60,30.0,0,2/29
England VS South Africa,ODI # 741,Willie Watson,10.0,India,1,34,1,3.4,0,0,0,0,0,34.0,60,60.0,0,1/34
England VS South Africa,ODI # 741,Gavin Larsen,9.0,India,0,43,0,4.77,0,0,0,0,0,0.0,54,0.0,0,0/43
England VS South Africa,ODI # 741,Chris Harris,9.0,India,0,55,3,6.11,0,0,0,2,0,18.33,54,18.0,0,3/55
England VS South Africa,ODI # 741,Rod Latham,4.0,India,0,24,0,6.0,0,0,0,2,0,0.0,24,0.0,0,0/24
England VS South Africa,ODI # 741,Kapil Dev,10.0,New Zealand,0,55,0,5.5,0,0,0,1,1,0.0,60,0.0,0,0/55
England VS South Africa,ODI # 741,Manoj Prabhakar,10.0,New Zealand,0,46,3,4.6,0,0,0,2,0,15.33,60,20.0,0,3/46
England VS South Africa,ODI # 741,Subroto Banerjee,6.0,New Zealand,1,40,0,6.66,0,0,0,0,1,0.0,36,0.0,0,0/40
England VS South Africa,ODI # 741,Javagal Srinath,9.0,New Zealand,0,35,0,3.88,0,0,0,2,3,0.0,54,0.0,0,0/35
England VS South Africa,ODI # 741,Venkatapathy Raju,10.0,New Zealand,0,38,2,3.8,0,0,0,0,0,19.0,60,30.0,0,2/38
England VS South Africa,ODI # 741,Sachin Tendulkar,1.0,New Zealand,0,2,0,2.0,0,0,0,0,0,0.0,6,0.0,0,0/2
England VS South Africa,ODI # 741,Kris Srikkanth,1.1,New Zealand,0,8,0,6.85,0,0,0,0,1,0.0,7,0.0,0,0/8
New Zealand VS India,ODI # 740,Craig McDermott,10.0,Pakistan,0,33,1,3.3,0,0,0,3,0,33.0,60,60.0,0,1/33
New Zealand VS India,ODI # 740,Bruce Reid,9.0,Pakistan,0,37,0,4.11,0,0,0,4,2,0.0,54,0.0,0,0/37
New Zealand VS India,ODI # 740,Steve Waugh,10.0,Pakistan,0,36,3,3.6,0,0,0,6,0,12.0,60,20.0,0,3/36
New Zealand VS India,ODI # 740,Mike Whitney,10.0,Pakistan,1,50,1,5.0,0,0,0,2,0,50.0,60,60.0,0,1/50
New Zealand VS India,ODI # 740,Tom Moody,10.0,Pakistan,0,42,2,4.2,0,0,0,1,0,21.0,60,30.0,0,2/42
New Zealand VS India,ODI # 740,Mark Waugh,1.0,Pakistan,0,13,0,13.0,0,0,0,0,1,0.0,6,0.0,0,0/13
New Zealand VS India,ODI # 740,Wasim Akram,7.2,Australia,0,28,2,3.81,0,0,0,4,5,14.0,44,22.0,0,2/28
New Zealand VS India,ODI # 740,Aaqib Javed,8.0,Australia,1,21,3,2.62,0,0,0,6,1,7.0,48,16.0,0,3/21
New Zealand VS India,ODI # 740,Imran Khan,10.0,Australia,1,32,2,3.2,0,0,0,0,0,16.0,60,30.0,0,2/32
New Zealand VS India,ODI # 740,Ijaz Ahmed,10.0,Australia,0,43,0,4.3,0,0,0,4,3,0.0,60,0.0,0,0/43
New Zealand VS India,ODI # 740,Mushtaq Ahmed,10.0,Australia,0,41,3,4.1,0,0,0,0,0,13.67,60,20.0,0,3/41
Australia VS Pakistan,ODI # 739,Allan Donald,9.3,Zimbabwe,1,25,1,2.63,0,0,0,1,2,25.0,57,57.0,0,1/25
Australia VS Pakistan,ODI # 739,Meyrick Pringle,9.0,Zimbabwe,0,25,1,2.77,0,0,0,6,3,25.0,54,54.0,0,1/25
Australia VS Pakistan,ODI # 739,Richard Snell,10.0,Zimbabwe,3,24,0,2.4,0,0,0,0,0,0.0,60,0.0,0,0/24
Australia VS Pakistan,ODI # 739,Brian McMillan,10.0,Zimbabwe,1,30,3,3.0,0,0,0,6,0,10.0,60,20.0,0,3/30
Australia VS Pakistan,ODI # 739,Hansie Cronje,5.0,Zimbabwe,0,17,2,3.4,0,0,0,0,0,8.5,30,15.0,0,2/17
Australia VS Pakistan,ODI # 739,Peter Kirsten,5.0,Zimbabwe,0,31,3,6.2,0,0,0,0,0,10.33,30,10.0,0,3/31
Australia VS Pakistan,ODI # 739,Eddo Brandes,9.1,South Africa,0,40,1,4.36,0,0,0,1,1,40.0,55,55.0,0,1/40
Australia VS Pakistan,ODI # 739,Malcolm Jarvis,9.0,South Africa,2,23,1,2.55,0,0,0,0,2,23.0,54,54.0,0,1/23
Australia VS Pakistan,ODI # 739,Mark Burmester,5.0,South Africa,0,20,0,4.0,0,0,0,1,0,0.0,30,0.0,0,0/20
Australia VS Pakistan,ODI # 739,Ali Shah,8.0,South Africa,2,32,1,4.0,0,0,0,0,0,32.0,48,48.0,0,1/32
Australia VS Pakistan,ODI # 739,Kevin Duers,8.0,South Africa,1,19,0,2.37,0,0,0,0,0,0.0,48,0.0,0,0/19
Australia VS Pakistan,ODI # 739,John Traicos,6.0,South Africa,0,26,0,4.33,0,0,0,0,0,0.0,36,0.0,0,0/26
South Africa VS Zimbabwe,ODI # 738,Curtly Ambrose,10.0,India,1,24,2,2.4,0,0,0,0,0,12.0,60,30.0,0,2/24
South Africa VS Zimbabwe,ODI # 738,Winston Benjamin,9.4,India,0,35,0,3.62,0,0,0,4,0,0.0,58,0.0,0,0/35
South Africa VS Zimbabwe,ODI # 738,Anderson Cummins,10.0,India,0,33,4,3.3,0,0,0,0,0,8.25,60,15.0,0,4/33
